GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G0600290","2018","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",896764,673595,50289,8106,44299,1656,84783,34036,9997,24039,"Kern County, California",0,10342,3454,1760,2892,594,9983,5583,2624,4767
"G0600310","2018","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",151366,96634,10428,1502,6833,273,30198,5498,1357,4141,"Kings County, California",0,3747,1396,498,607,348,3816,1581,797,1307
"G0600330","2018","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",64382,47341,1546,3040,622,15,9643,2175,339,1836,"Lake County, California",0,1257,100,1761,323,32,2153,1135,519,933
"G0600370","2018","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",10105518,5184112,811476,76089,1492554,28376,2076549,436362,135124,301238,"Los Angeles County, California",0,39738,8422,7431,9252,1914,42339,17064,9906,12114
"G0600390","2018","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",157672,91440,5417,1510,3619,132,49419,6135,2589,3546,"Madera County, California",0,5612,658,661,184,216,5977,1713,1273,1114
"G0600410","2018","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",259666,206330,6312,275,16431,466,16866,12986,2098,10888,"Marin County, California",0,4212,974,212,1343,182,3964,2566,1409,2151
"G0600450","2018","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",87606,73040,294,3434,2190,153,4829,3666,68,3598,"Mendocino County, California",0,2083,281,1126,330,163,1953,809,119,811
"G0600470","2018","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",274765,157100,9118,2300,20204,1094,74161,10788,4130,6658,"Merced County, California",0,6761,1242,1189,1925,1495,6859,2301,1722,1387
"G0600530","2018","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",435594,205303,11753,6540,25748,2232,167885,16133,2778,13355,"Monterey County, California",0,8932,1233,3259,1870,247,9330,2651,865,2595
"G0600550","2018","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",139417,106436,2237,1011,12249,202,11435,5847,1148,4699,"Napa County, California",0,4048,590,814,874,249,3879,1617,735,1190
"G0600570","2018","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",99696,91285,534,345,1249,158,2207,3918,134,3784,"Nevada County, California",0,2255,381,261,500,252,2300,841,229,795
"G0600590","2018","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3185968,1922991,59872,13213,666421,10196,378653,134622,26693,107929,"Orange County, California",0,16838,3402,2686,6135,1765,16760,9457,4111,7948
"G0600610","2018","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",393149,322796,6738,2028,30817,667,11993,18110,1729,16381,"Placer County, California",0,3018,1119,572,1505,467,3036,3046,886,2665
"G0600650","2018","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2450758,1486443,160065,17330,163182,7783,512513,103442,30480,72962,"Riverside County, California",0,20898,5285,2215,4147,1989,20984,8156,4613,6232
"G0600670","2018","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1540975,874105,152261,11548,248351,18375,120060,116275,17071,99204,"Sacramento County, California",0,11018,4606,2863,5826,973,10514,9506,3305,8747
"G0600710","2018","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2171603,1320579,178755,19292,157436,6908,383485,105148,27808,77340,"San Bernardino County, California",0,19051,5550,4156,4011,1136,17760,10666,5800,9080
"G0600730","2018","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3343364,2373583,171408,20446,401745,13943,187840,174399,30296,144103,"San Diego County, California",0,14034,4175,2604,7191,1866,11934,10180,5060,8832
"G0600750","2018","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",883305,400727,45886,2308,302795,2126,71923,57540,9256,48284,"San Francisco County, California",0,5306,2178,945,4830,1215,5384,6619,2467,5770
"G0600770","2018","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",752660,436288,54996,4560,120792,4351,47132,84541,6618,77923,"San Joaquin County, California",0,9166,2282,1299,3754,840,6666,8323,1902,8443
"G0600790","2018","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",284010,248227,5123,1731,10265,235,6756,11673,1799,9874,"San Luis Obispo County, California",0,2749,1020,538,1153,194,1982,2104,981,1854
"G0600810","2018","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",769545,385286,16374,3089,226445,8787,80699,48865,7803,41062,"San Mateo County, California",0,9167,1667,1661,3136,1100,9187,4711,1838,4004
"G0600830","2018","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",446527,349976,9371,6202,24922,500,35392,20164,4011,16153,"Santa Barbara County, California",0,6926,861,1810,1281,484,6118,3731,2404,2985
"G0600850","2018","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1937570,859705,49486,8791,721307,6751,191580,99950,16835,83115,"Santa Clara County, California",0,12972,2260,2098,5678,1467,13292,8044,2675,7115
"G0600870","2018","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",274255,201567,2874,954,13521,388,41896,13055,3456,9599,"Santa Cruz County, California",0,7296,875,573,1352,454,7180,2007,1210,1666
"G0600890","2018","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",180040,153562,2080,4384,5654,341,6307,7712,865,6847,"Shasta County, California",0,1655,585,1121,765,338,1621,1555,449,1445
"G0600950","2018","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",446610,237882,59795,2524,70209,4869,39696,31635,3228,28407,"Solano County, California",0,5407,2532,751,2836,573,5558,3951,1078,3959
"G0600970","2018","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",499942,369293,8049,5039,21637,1176,69166,25582,5799,19783,"Sonoma County, California",0,7201,1765,2619,1533,689,7239,3781,2349,2765
"G0600990","2018","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",549815,434015,16865,5011,28148,4616,37100,24060,5696,18364,"Stanislaus County, California",0,7100,1625,1206,2064,369,5923,3392,2390,2463
"G0601010","2018","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",96807,66617,2001,888,13831,1399,5094,6977,1231,5746,"Sutter County, California",0,1895,318,436,1805,1227,1860,1933,780,1971
"G0601070","2018","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",465861,332150,8947,4550,17675,711,84196,17632,7236,10396,"Tulare County, California",0,11002,1922,1605,1436,118,10559,3554,2750,2694
"G0601110","2018","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",850967,685974,14696,5106,64523,1632,39930,39106,7790,31316,"Ventura County, California",0,7779,1512,1438,2165,511,6431,5041,1949,4742
"G0601130","2018","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",220408,158000,6684,925,31615,1102,6636,15446,1266,14180,"Yolo County, California",0,3186,1629,776,1545,201,2006,2543,723,2435
"G0601150","2018","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",78041,60004,2132,1513,5721,1025,2385,5261,867,4394,"Yuba County, California",0,1743,717,854,1122,1041,1070,1638,738,1371
"G0800010","2018","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",511868,416894,16804,5317,18457,362,24160,29874,4451,25423,"Adams County, Colorado",0,7327,1684,1742,2235,472,5044,6901,1494,7029
"G0800050","2018","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",651215,469233,73002,5249,38778,1526,30804,32623,5412,27211,"Arapahoe County, Colorado",0,6088,4184,1500,1887,389,5457,4203,2025,3827
"G0800130","2018","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",326078,286455,3185,1804,14360,117,8019,12138,1826,10312,"Boulder County, Colorado",0,2960,1095,630,1131,142,2666,2483,1533,1913
"G0800140","2018","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",69267,60869,1103,196,4951,0,450,1698,370,1328,"Broomfield County, Colorado",0,662,243,211,564,204,477,831,449,612
"G0800310","2018","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",716492,544519,64199,6686,26827,1213,43500,29548,4291,25257,"Denver County, Colorado",0,7056,3478,1989,1788,309,7258,3814,1457,3672
