GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AE2CE001,AE2CE002,AE2CE003,AE2CE004,AE2CE005,AE2CE006,AE2CE007,AE2CE008,AE2CE009,AE2CE010,NAME_M,AE2CM001,AE2CM002,AE2CM003,AE2CM004,AE2CM005,AE2CM006,AE2CM007,AE2CM008,AE2CM009,AE2CM010
"G3300090","2016","NH",,,"New Hampshire","33","Grafton County","009",,,,,,,,,,,,,,,,,,"05000US33009","Grafton County, New Hampshire",88888,82304,977,143,3505,34,293,1632,44,1588,"Grafton County, New Hampshire",0,367,193,145,636,61,306,718,57,724
"G3300110","2016","NH",,,"New Hampshire","33","Hillsborough County","011",,,,,,,,,,,,,,,,,,"05000US33011","Hillsborough County, New Hampshire",407761,367574,9702,467,14874,32,5283,9829,775,9054,"Hillsborough County, New Hampshire",0,2534,1281,294,1366,60,2007,1907,477,1843
"G3300130","2016","NH",,,"New Hampshire","33","Merrimack County","013",,,,,,,,,,,,,,,,,,"05000US33013","Merrimack County, New Hampshire",148582,140747,836,354,2563,0,209,3873,197,3676,"Merrimack County, New Hampshire",0,374,502,508,649,187,317,1031,218,982
"G3300150","2016","NH",,,"New Hampshire","33","Rockingham County","015",,,,,,,,,,,,,,,,,,"05000US33015","Rockingham County, New Hampshire",303251,288104,2089,57,5846,0,1712,5443,522,4921,"Rockingham County, New Hampshire",0,1010,588,96,746,187,874,1146,516,1018
"G3300170","2016","NH",,,"New Hampshire","33","Strafford County","017",,,,,,,,,,,,,,,,,,"05000US33017","Strafford County, New Hampshire",127428,118919,1196,50,4107,0,175,2981,578,2403,"Strafford County, New Hampshire",0,369,485,101,593,187,167,819,641,615
"G3400010","2016","NJ",,,"New Jersey","34","Atlantic County","001",,,,,,,,,,,,,,,,,,"05000US34001","Atlantic County, New Jersey",270991,176909,41557,824,22599,60,20986,8056,3178,4878,"Atlantic County, New Jersey",0,3878,1895,207,887,76,4276,2438,1630,1745
"G3400030","2016","NJ",,,"New Jersey","34","Bergen County","003",,,,,,,,,,,,,,,,,,"05000US34003","Bergen County, New Jersey",939151,678573,56391,1748,153276,804,20616,27743,4733,23010,"Bergen County, New Jersey",0,4856,3800,721,2629,763,3635,4027,1597,3942
"G3400050","2016","NJ",,,"New Jersey","34","Burlington County","005",,,,,,,,,,,,,,,,,,"05000US34005","Burlington County, New Jersey",449284,323113,74530,378,23697,123,10123,17320,2367,14953,"Burlington County, New Jersey",0,2352,2470,299,888,143,2752,2594,1058,2250
"G3400070","2016","NJ",,,"New Jersey","34","Camden County","007",,,,,,,,,,,,,,,,,,"05000US34007","Camden County, New Jersey",510150,324529,96342,1032,29696,0,44228,14323,1950,12373,"Camden County, New Jersey",0,4212,2921,748,858,200,4788,3024,873,2847
"G3400090","2016","NJ",,,"New Jersey","34","Cape May County","009",,,,,,,,,,,,,,,,,,"05000US34009","Cape May County, New Jersey",94430,86834,3321,63,806,127,648,2631,38,2593,"Cape May County, New Jersey",0,494,1410,110,408,184,414,1494,79,1491
"G3400110","2016","NJ",,,"New Jersey","34","Cumberland County","011",,,,,,,,,,,,,,,,,,"05000US34011","Cumberland County, New Jersey",153797,103640,28739,1960,2258,0,10350,6850,1876,4974,"Cumberland County, New Jersey",0,2980,2025,943,478,200,2274,2031,1215,1637
"G3400130","2016","NJ",,,"New Jersey","34","Essex County","013",,,,,,,,,,,,,,,,,,"05000US34013","Essex County, New Jersey",796914,355482,317198,1518,42298,0,58747,21671,4090,17581,"Essex County, New Jersey",0,6525,4084,894,1386,200,6295,4633,1146,4401
"G3400150","2016","NJ",,,"New Jersey","34","Gloucester County","015",,,,,,,,,,,,,,,,,,"05000US34015","Gloucester County, New Jersey",292330,237650,29805,215,8955,0,6186,9519,3066,6453,"Gloucester County, New Jersey",0,1647,1597,317,750,200,2187,2362,1371,1826
"G3400170","2016","NJ",,,"New Jersey","34","Hudson County","017",,,,,,,,,,,,,,,,,,"05000US34017","Hudson County, New Jersey",677983,367911,81508,2484,102554,752,96113,26661,11030,15631,"Hudson County, New Jersey",0,10452,2916,819,2364,602,10148,3796,3208,2725
"G3400190","2016","NJ",,,"New Jersey","34","Hunterdon County","019",,,,,,,,,,,,,,,,,,"05000US34019","Hunterdon County, New Jersey",124676,113236,3498,19,4757,73,1238,1855,791,1064,"Hunterdon County, New Jersey",0,1116,331,39,752,128,1126,820,682,596
"G3400210","2016","NJ",,,"New Jersey","34","Mercer County","021",,,,,,,,,,,,,,,,,,"05000US34021","Mercer County, New Jersey",371023,238907,78453,493,40864,597,4213,7496,933,6563,"Mercer County, New Jersey",0,2679,2932,453,982,767,1548,1970,751,1783
"G3400230","2016","NJ",,,"New Jersey","34","Middlesex County","023",,,,,,,,,,,,,,,,,,"05000US34023","Middlesex County, New Jersey",837073,490322,83900,2096,203045,297,35789,21624,7529,14095,"Middlesex County, New Jersey",0,6372,2351,1108,2171,324,6886,3557,2098,2900
"G3400250","2016","NJ",,,"New Jersey","34","Monmouth County","025",,,,,,,,,,,,,,,,,,"05000US34025","Monmouth County, New Jersey",625846,514689,45430,966,35774,30,18484,10473,1843,8630,"Monmouth County, New Jersey",0,4671,2328,523,921,42,4732,1869,979,1700
"G3400270","2016","NJ",,,"New Jersey","34","Morris County","027",,,,,,,,,,,,,,,,,,"05000US34027","Morris County, New Jersey",498423,402032,15796,139,53056,0,17716,9684,1638,8046,"Morris County, New Jersey",0,4272,1516,185,1210,200,4480,2003,777,1824
"G3400290","2016","NJ",,,"New Jersey","34","Ocean County","029",,,,,,,,,,,,,,,,,,"05000US34029","Ocean County, New Jersey",592497,536665,17336,400,11908,664,17161,8363,1162,7201,"Ocean County, New Jersey",0,4961,1889,348,851,877,4929,2035,1028,1796
"G3400310","2016","NJ",,,"New Jersey","34","Passaic County","031",,,,,,,,,,,,,,,,,,"05000US34031","Passaic County, New Jersey",507945,333685,57390,1643,26481,180,74754,13812,3444,10368,"Passaic County, New Jersey",0,6803,2710,804,1241,296,7140,2993,1310,2559
"G3400330","2016","NJ",,,"New Jersey","34","Salem County","033",,,,,,,,,,,,,,,,,,"05000US34033","Salem County, New Jersey",63436,50303,8147,162,774,0,1966,2084,246,1838,"Salem County, New Jersey",0,1165,1065,148,200,200,1094,1187,269,1048
"G3400350","2016","NJ",,,"New Jersey","34","Somerset County","035",,,,,,,,,,,,,,,,,,"05000US34035","Somerset County, New Jersey",333751,224326,32448,1718,57437,47,10493,7282,1659,5623,"Somerset County, New Jersey",0,3004,906,1025,1570,78,3024,1854,952,1622
"G3400370","2016","NJ",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,,"05000US34037","Sussex County, New Jersey",142522,132461,2904,0,3229,0,1717,2211,96,2115,"Sussex County, New Jersey",0,1372,366,200,520,200,1312,677,180,678
"G3400390","2016","NJ",,,"New Jersey","34","Union County","039",,,,,,,,,,,,,,,,,,"05000US34039","Union County, New Jersey",555630,304604,114911,2210,27892,0,89983,16030,5446,10584,"Union County, New Jersey",0,7695,3393,1716,1462,200,8855,2743,1943,2093
"G3400410","2016","NJ",,,"New Jersey","34","Warren County","041",,,,,,,,,,,,,,,,,,"05000US34041","Warren County, New Jersey",106617,95037,4981,117,2825,0,2019,1638,161,1477,"Warren County, New Jersey",0,1275,370,115,449,200,1212,695,166,639
"G3500010","2016","NM",,,"New Mexico","35","Bernalillo County","001",,,,,,,,,,,,,,,,,,"05000US35001","Bernalillo County, New Mexico",676953,479588,18679,34521,18595,498,101451,23621,9664,13957,"Bernalillo County, New Mexico",0,9412,1603,3022,1342,548,8945,3706,2481,2836
"G3500050","2016","NM",,,"New Mexico","35","Chaves County","005",,,,,,,,,,,,,,,,,,"05000US35005","Chaves County, New Mexico",65282,59253,1717,1481,67,22,2013,729,650,79,"Chaves County, New Mexico",0,1591,154,658,102,45,1256,642,622,167
"G3500130","2016","NM",,,"New Mexico","35","Doña Ana County","013",,,,,,,,,,,,,,,,,,"05000US35013","Doña Ana County, New Mexico",214207,194538,3599,2578,2341,69,8652,2430,628,1802,"Doña Ana County, New Mexico",0,3403,341,835,294,130,3443,871,385,767
"G3500250","2016","NM",,,"New Mexico","35","Lea County","025",,,,,,,,,,,,,,,,,,"05000US35025","Lea County, New Mexico",69749,62201,2172,452,0,46,3134,1744,265,1479,"Lea County, New Mexico",0,1463,835,242,195,84,1438,813,244,836
"G3500310","2016","NM",,,"New Mexico","35","McKinley County","031",,,,,,,,,,,,,,,,,,"05000US35031","McKinley County, New Mexico",74923,10318,161,58562,766,219,3963,934,364,570,"McKinley County, New Mexico",0,1640,137,1019,195,262,1947,596,428,425
"G3500350","2016","NM",,,"New Mexico","35","Otero County","035",,,,,,,,,,,,,,,,,,"05000US35035","Otero County, New Mexico",65410,50841,2625,4423,969,0,3628,2924,452,2472,"Otero County, New Mexico",0,2292,503,467,239,195,2052,1603,449,1561
"G3500430","2016","NM",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,,"05000US35043","Sandoval County, New Mexico",142025,99399,2980,18026,2100,25,11878,7617,2504,5113,"Sandoval County, New Mexico",0,2713,467,863,1167,41,2707,1856,1258,1324
"G3500450","2016","NM",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,,"05000US35045","San Juan County, New Mexico",115079,62316,656,41426,690,74,6795,3122,413,2709,"San Juan County, New Mexico",0,1870,466,1442,222,127,1368,1167,388,1139
"G3500490","2016","NM",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,,"05000US35049","Santa Fe County, New Mexico",148651,126078,1260,5173,1976,38,9950,4176,2010,2166,"Santa Fe County, New Mexico",0,2545,179,1007,462,50,2047,1291,993,871
"G3500610","2016","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,"05000US35061","Valencia County, New Mexico",75626,60577,788,2782,340,0,8365,2774,1413,1361,"Valencia County, New Mexico",0,2996,240,628,264,195,2702,1036,775,723
"G3600010","2016","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,"05000US36001","Albany County, New York",308846,230831,38386,788,21011,0,5538,12292,1706,10586,"Albany County, New York",0,2262,2112,467,917,192,1504,2414,991,2291
"G3600050","2016","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,"05000US36005","Bronx County, New York",1455720,312877,495031,8777,51958,372,528863,57842,23737,34105,"Bronx County, New York",0,12856,8546,2234,2912,436,14923,6806,4683,5554
"G3600070","2016","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,"05000US36007","Broome County, New York",195334,166572,12650,13,7006,21,1866,7206,810,6396,"Broome County, New York",0,1038,1572,27,1214,38,914,1595,740,1585
"G3600090","2016","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County, New York",77677,71286,1148,2615,509,0,376,1743,621,1122,"Cattaraugus County, New York",0,276,321,308,252,192,224,491,361,379
"G3600110","2016","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County, New York",77861,71746,3240,139,400,0,554,1782,171,1611,"Cayuga County, New York",0,472,544,115,408,192,367,649,255,571
"G3600130","2016","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County, New York",129504,120008,3784,326,760,64,2035,2527,493,2034,"Chautauqua County, New York",0,1187,474,140,336,97,1017,869,664,610
"G3600150","2016","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,"05000US36015","Chemung County, New York",86322,75851,4798,171,1588,22,770,3122,110,3012,"Chemung County, New York",0,561,870,223,76,47,478,970,160,970
"G3600190","2016","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,"05000US36019","Clinton County, New York",81073,73092,3875,114,990,0,1811,1191,117,1074,"Clinton County, New York",0,675,305,139,346,192,728,534,168,475
"G3600270","2016","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County, New York",294473,232515,31588,989,10743,422,9189,9027,1490,7537,"Dutchess County, New York",0,3106,2108,440,767,493,2960,2426,717,2373
"G3600290","2016","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",921046,718970,122691,4730,34132,405,18740,21378,3686,17692,"Erie County, New York",0,3294,2436,1272,1166,162,3307,3354,1667,2714
"G3600450","2016","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",114006,98583,5871,1667,1998,41,1425,4421,629,3792,"Jefferson County, New York",0,1004,1264,1090,456,57,603,1155,575,1023
"G3600470","2016","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",2629150,1124155,861749,8714,315850,1402,237591,79689,13817,65872,"Kings County, New York",0,10525,7591,2639,4323,596,11781,6475,2845,5955
"G3600510","2016","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",64257,59522,1985,352,699,76,800,823,9,814,"Livingston County, New York",0,542,498,267,309,141,531,392,18,394
"G3600530","2016","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",71329,67495,1272,203,726,152,200,1281,409,872,"Madison County, New York",0,483,475,123,255,251,172,613,463,344
"G3600550","2016","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,"05000US36055","Monroe County, New York",747727,570709,113806,2763,26420,309,12100,21620,3305,18315,"Monroe County, New York",0,2932,2723,877,1797,323,2510,3250,1578,3273
"G3600590","2016","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,"05000US36059","Nassau County, New York",1361500,926594,158561,3420,127934,285,102363,42343,11992,30351,"Nassau County, New York",0,9490,3628,1385,2176,214,8812,6245,2910,4920
"G3600610","2016","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",1643734,931953,246095,4555,204434,1205,179384,76108,21190,54918,"New York County, New York",0,10526,6743,1574,3603,876,11666,9660,6206,7299
"G3600630","2016","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",211758,185171,13450,2246,2082,141,1822,6846,533,6313,"Niagara County, New York",0,1241,1266,418,413,183,1006,1571,446,1517
"G3600650","2016","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",231190,197816,13313,400,9824,53,2474,7310,519,6791,"Oneida County, New York",0,1290,1634,364,545,93,1034,1636,400,1651
"G3600670","2016","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",466194,370920,52781,1769,17413,81,6250,16980,587,16393,"Onondaga County, New York",0,1646,1782,655,1087,97,1690,2450,295,2427
"G3600690","2016","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",109828,101231,3180,584,1345,114,1649,1725,330,1395,"Ontario County, New York",0,693,801,670,356,172,776,693,301,636
"G3600710","2016","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",379210,278706,38853,1877,10686,149,32984,15955,3331,12624,"Orange County, New York",0,4467,2721,610,962,247,4846,3438,1332,2969
"G3600750","2016","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",118987,113860,1795,184,730,75,167,2176,20,2156,"Oswego County, New York",0,511,553,133,215,121,155,459,33,457
"G3600790","2016","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",98900,85102,1490,859,2214,56,7046,2133,357,1776,"Putnam County, New York",0,1797,643,626,423,86,1878,829,300,771
"G3600810","2016","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",2333054,905860,421307,9509,592922,1240,318657,83559,29285,54274,"Queens County, New York",0,12959,6524,2054,6301,696,15669,7695,4754,6079
"G3600830","2016","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",160070,137956,9755,799,4019,0,1866,5675,265,5410,"Rensselaer County, New York",0,1186,1225,932,750,192,1064,1212,235,1192
"G3600850","2016","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,"05000US36085","Richmond County, New York",476015,352530,48920,251,40747,721,22464,10382,2183,8199,"Richmond County, New York",0,5099,2200,250,1571,927,5141,2271,872,2208
"G3600870","2016","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,"05000US36087","Rockland County, New York",326780,225848,40350,592,19686,49,33989,6266,1087,5179,"Rockland County, New York",0,4175,1940,372,1117,87,5006,1613,668,1545
"G3600890","2016","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,"05000US36089","St. Lawrence County, New York",110038,102840,2925,437,1489,11,472,1864,288,1576,"St. Lawrence County, New York",0,543,352,289,264,17,214,625,243,599
"G3600910","2016","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,"05000US36091","Saratoga County, New York",227053,211505,2719,484,6797,91,907,4550,54,4496,"Saratoga County, New York",0,886,1370,351,434,163,681,1486,80,1447
"G3600930","2016","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,"05000US36093","Schenectady County, New York",154553,119476,14509,258,6739,219,7110,6242,1149,5093,"Schenectady County, New York",0,2091,2171,305,580,335,2756,1794,880,1662
"G3601010","2016","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,"05000US36101","Steuben County, New York",96940,91500,1835,120,1298,0,524,1663,288,1375,"Steuben County, New York",0,352,448,134,369,192,381,476,284,442
"G3601030","2016","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,"05000US36103","Suffolk County, New York",1492583,1195796,111177,3361,58726,833,93130,29560,8108,21452,"Suffolk County, New York",0,11756,2689,1177,2528,555,11861,3824,2110,3380
"G3601050","2016","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,"05000US36105","Sullivan County, New York",74801,60496,5662,52,1227,0,4373,2991,502,2489,"Sullivan County, New York",0,2035,967,73,391,192,2116,1337,626,1071
"G3601090","2016","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,"05000US36109","Tompkins County, New York",104871,83423,4698,268,10625,0,1656,4201,223,3978,"Tompkins County, New York",0,799,454,214,898,192,639,1123,284,1046
"G3601110","2016","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,"05000US36111","Ulster County, New York",179225,152042,10859,151,3969,21,5275,6908,701,6207,"Ulster County, New York",0,1754,1929,119,546,43,1537,1968,613,1921
"G3601130","2016","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,"05000US36113","Warren County, New York",64567,62127,690,85,603,82,146,834,0,834,"Warren County, New York",0,188,246,133,208,132,185,318,192,318
"G3601170","2016","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,"05000US36117","Wayne County, New York",90798,84497,2458,59,775,0,1092,1917,48,1869,"Wayne County, New York",0,921,388,77,232,192,943,495,92,495
"G3601190","2016","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,"05000US36119","Westchester County, New York",974542,628687,144510,2745,57962,192,107885,32561,12405,20156,"Westchester County, New York",0,8448,3610,832,2210,142,8254,5274,3712,3585
"G3700010","2016","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,"05000US37001","Alamance County, North Carolina",159688,110933,31088,779,2245,307,11140,3196,478,2718,"Alamance County, North Carolina",0,2190,1129,494,322,350,2340,1074,459,978
"G3700190","2016","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,"05000US37019","Brunswick County, North Carolina",126953,105877,13110,1056,708,0,2814,3388,365,3023,"Brunswick County, North Carolina",0,1372,1576,530,404,203,1716,2190,404,2134
"G3700210","2016","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,"05000US37021","Buncombe County, North Carolina",256088,226953,15445,959,3542,425,3181,5583,288,5295,"Buncombe County, North Carolina",0,1860,1517,448,811,486,1985,1591,247,1603
"G3700230","2016","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,"05000US37023","Burke County, North Carolina",88851,74837,5443,537,3447,127,3437,1023,0,1023,"Burke County, North Carolina",0,1143,671,163,10,238,1231,698,203,698
"G3700250","2016","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,"05000US37025","Cabarrus County, North Carolina",201590,141332,34402,511,6212,374,12541,6218,1200,5018,"Cabarrus County, North Carolina",0,2117,1504,537,902,445,2424,2305,1138,1609
"G3700270","2016","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,"05000US37027","Caldwell County, North Carolina",81449,72101,3611,550,302,0,3569,1316,218,1098,"Caldwell County, North Carolina",0,580,1109,377,511,203,687,1063,367,914
"G3700310","2016","NC",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,,"05000US37031","Carteret County, North Carolina",68890,61844,3798,285,546,0,320,2097,53,2044,"Carteret County, North Carolina",0,408,411,245,309,203,309,574,70,561
"G3700350","2016","NC",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,,"05000US37035","Catawba County, North Carolina",156459,122004,13875,600,6466,0,10980,2534,84,2450,"Catawba County, North Carolina",0,1401,1122,246,333,203,1400,1147,141,1140
"G3700370","2016","NC",,,"North Carolina","37","Chatham County","037",,,,,,,,,,,,,,,,,,"05000US37037","Chatham County, North Carolina",72243,59488,8033,0,868,0,1187,2667,122,2545,"Chatham County, North Carolina",0,1005,853,203,620,203,956,1042,214,1053
"G3700450","2016","NC",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,,"05000US37045","Cleveland County, North Carolina",97144,71847,20734,157,1134,0,2499,773,115,658,"Cleveland County, North Carolina",0,490,409,250,129,203,713,460,146,392
"G3700490","2016","NC",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,,"05000US37049","Craven County, North Carolina",103445,71552,20612,812,3215,50,3030,4174,0,4174,"Craven County, North Carolina",0,1382,2292,324,378,80,1630,2364,203,2364
"G3700510","2016","NC",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,,"05000US37051","Cumberland County, North Carolina",327127,162910,124566,5012,7649,737,7461,18792,1746,17046,"Cumberland County, North Carolina",0,2553,2613,1208,1120,344,2141,2793,911,2672
"G3700570","2016","NC",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,,"05000US37057","Davidson County, North Carolina",164926,139762,13621,133,2630,0,4359,4421,0,4421,"Davidson County, North Carolina",0,2179,1603,151,113,203,2215,1585,203,1585
"G3700630","2016","NC",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,,"05000US37063","Durham County, North Carolina",306212,158099,113137,669,15714,267,10281,8045,591,7454,"Durham County, North Carolina",0,3041,2104,340,1107,315,2916,2030,530,1962
"G3700670","2016","NC",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,,"05000US37067","Forsyth County, North Carolina",371511,245900,97584,1513,8532,21,8879,9082,1324,7758,"Forsyth County, North Carolina",0,2789,1978,660,749,40,2294,2376,734,2261
"G3700710","2016","NC",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,,"05000US37071","Gaston County, North Carolina",216965,167912,34358,1004,3627,0,5169,4895,680,4215,"Gaston County, North Carolina",0,1751,1782,352,327,203,1750,1828,388,1808
"G3700810","2016","NC",,,"North Carolina","37","Guilford County","081",,,,,,,,,,,,,,,,,,"05000US37081","Guilford County, North Carolina",521330,290962,175229,1975,26138,383,14980,11663,963,10700,"Guilford County, North Carolina",0,3045,3145,580,582,424,3358,2748,961,2807
"G3700850","2016","NC",,,"North Carolina","37","Harnett County","085",,,,,,,,,,,,,,,,,,"05000US37085","Harnett County, North Carolina",130881,86920,27503,878,916,202,8723,5739,830,4909,"Harnett County, North Carolina",0,1519,1269,561,337,307,1761,1363,511,1335
"G3700890","2016","NC",,,"North Carolina","37","Henderson County","089",,,,,,,,,,,,,,,,,,"05000US37089","Henderson County, North Carolina",114209,106200,5236,6,1607,0,335,825,0,825,"Henderson County, North Carolina",0,727,833,14,203,203,283,474,203,474
"G3700970","2016","NC",,,"North Carolina","37","Iredell County","097",,,,,,,,,,,,,,,,,,"05000US37097","Iredell County, North Carolina",172916,142713,21633,194,4410,0,1728,2238,371,1867,"Iredell County, North Carolina",0,1160,751,228,393,203,953,927,368,816
"G3701010","2016","NC",,,"North Carolina","37","Johnston County","101",,,,,,,,,,,,,,,,,,"05000US37101","Johnston County, North Carolina",191450,149935,31782,729,536,0,3042,5426,543,4883,"Johnston County, North Carolina",0,2731,2318,618,480,203,1810,1642,605,1582
"G3701090","2016","NC",,,"North Carolina","37","Lincoln County","109",,,,,,,,,,,,,,,,,,"05000US37109","Lincoln County, North Carolina",81168,70976,3566,1149,638,106,3239,1494,517,977,"Lincoln County, North Carolina",0,1321,1254,1048,104,180,1418,859,576,702
"G3701190","2016","NC",,,"North Carolina","37","Mecklenburg County","119",,,,,,,,,,,,,,,,,,"05000US37119","Mecklenburg County, North Carolina",1054835,574931,334621,2740,59544,786,55771,26442,2388,24054,"Mecklenburg County, North Carolina",0,6887,4162,970,1554,301,6855,3343,1037,3256
"G3701250","2016","NC",,,"North Carolina","37","Moore County","125",,,,,,,,,,,,,,,,,,"05000US37125","Moore County, North Carolina",95776,78987,13027,108,1649,80,510,1415,171,1244,"Moore County, North Carolina",0,1098,550,138,107,141,491,1389,257,1159
"G3701270","2016","NC",,,"North Carolina","37","Nash County","127",,,,,,,,,,,,,,,,,,"05000US37127","Nash County, North Carolina",94005,50212,37748,434,845,0,3161,1605,193,1412,"Nash County, North Carolina",0,1251,778,313,217,203,1191,1051,282,1019
"G3701290","2016","NC",,,"North Carolina","37","New Hanover County","129",,,,,,,,,,,,,,,,,,"05000US37129","New Hanover County, North Carolina",223483,180970,31080,625,2161,0,2255,6392,205,6187,"New Hanover County, North Carolina",0,1728,1780,477,768,203,1111,1795,230,1804
"G3701330","2016","NC",,,"North Carolina","37","Onslow County","133",,,,,,,,,,,,,,,,,,"05000US37133","Onslow County, North Carolina",187136,139353,24311,591,3350,413,3224,15894,2144,13750,"Onslow County, North Carolina",0,2304,2427,318,709,275,1615,3118,1949,2530
"G3701350","2016","NC",,,"North Carolina","37","Orange County","135",,,,,,,,,,,,,,,,,,"05000US37135","Orange County, North Carolina",141796,106590,14958,677,11270,0,1976,6325,881,5444,"Orange County, North Carolina",0,1378,1620,239,826,203,1005,1950,717,1802
"G3701470","2016","NC",,,"North Carolina","37","Pitt County","147",,,,,,,,,,,,,,,,,,"05000US37147","Pitt County, North Carolina",177220,102197,62515,640,2983,64,4316,4505,268,4237,"Pitt County, North Carolina",0,1972,2171,204,791,101,2236,1740,291,1714
"G3701510","2016","NC",,,"North Carolina","37","Randolph County","151",,,,,,,,,,,,,,,,,,"05000US37151","Randolph County, North Carolina",143416,119977,9771,262,1463,0,9133,2810,443,2367,"Randolph County, North Carolina",0,2453,1132,221,514,203,2630,918,434,796
