GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMUEE001,AMUEE002,AMUEE003,NAME_M,AMUEM001,AMUEM002,AMUEM003
"G0200900","2016-2020","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02090",,,"Fairbanks North Star Borough, Alaska",44270,36199,8071,"Fairbanks North Star Borough, Alaska",136,770,771
"G0201000","2016-2020","AK",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02100",,,"Haines Borough, Alaska",1692,917,775,"Haines Borough, Alaska",163,116,115
"G0201050","2016-2020","AK",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02105",,,"Hoonah-Angoon Census Area, Alaska",1623,755,868,"Hoonah-Angoon Census Area, Alaska",86,82,56
"G0201100","2016-2020","AK",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02110",,,"Juneau City and Borough, Alaska",13792,12878,914,"Juneau City and Borough, Alaska",74,274,254
"G0201220","2016-2020","AK",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02122",,,"Kenai Peninsula Borough, Alaska",31330,21781,9549,"Kenai Peninsula Borough, Alaska",124,390,398
"G0201300","2016-2020","AK",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02130",,,"Ketchikan Gateway Borough, Alaska",6427,5299,1128,"Ketchikan Gateway Borough, Alaska",60,134,119
"G0201500","2016-2020","AK",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02150",,,"Kodiak Island Borough, Alaska",5450,4231,1219,"Kodiak Island Borough, Alaska",35,195,192
"G0201580","2016-2020","AK",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02158",,,"Kusilvak Census Area, Alaska",2219,1750,469,"Kusilvak Census Area, Alaska",76,89,47
"G0201640","2016-2020","AK",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02164",,,"Lake and Peninsula Borough, Alaska",1431,366,1065,"Lake and Peninsula Borough, Alaska",143,144,44
"G0201700","2016-2020","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02170",,,"Matanuska-Susitna Borough, Alaska",42018,31964,10054,"Matanuska-Susitna Borough, Alaska",192,336,280
"G0201800","2016-2020","AK",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02180",,,"Nome Census Area, Alaska",4092,2777,1315,"Nome Census Area, Alaska",114,132,65
"G0201850","2016-2020","AK",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02185",,,"North Slope Borough, Alaska",2581,1991,590,"North Slope Borough, Alaska",213,226,69
"G0201880","2016-2020","AK",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02188",,,"Northwest Arctic Borough, Alaska",2742,1795,947,"Northwest Arctic Borough, Alaska",65,76,51
"G0201950","2016-2020","AK",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02195",,,"Petersburg Borough, Alaska",1800,1204,596,"Petersburg Borough, Alaska",103,96,65
"G0201980","2016-2020","AK",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02198",,,"Prince of Wales-Hyder Census Area, Alaska",3450,2353,1097,"Prince of Wales-Hyder Census Area, Alaska",46,87,73
"G0202200","2016-2020","AK",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02220",,,"Sitka City and Borough, Alaska",4229,3572,657,"Sitka City and Borough, Alaska",43,128,120
"G0202300","2016-2020","AK",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02230",,,"Skagway Municipality, Alaska",644,411,233,"Skagway Municipality, Alaska",82,82,24
"G0202400","2016-2020","AK",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02240",,,"Southeast Fairbanks Census Area, Alaska",3911,2287,1624,"Southeast Fairbanks Census Area, Alaska",44,114,103
"G0202750","2016-2020","AK",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02275",,,"Wrangell City and Borough, Alaska",1451,989,462,"Wrangell City and Borough, Alaska",106,94,67
"G0202820","2016-2020","AK",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02282",,,"Yakutat City and Borough, Alaska",417,221,196,"Yakutat City and Borough, Alaska",41,36,19
"G0202900","2016-2020","AK",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02290",,,"Yukon-Koyukuk Census Area, Alaska",4081,1857,2224,"Yukon-Koyukuk Census Area, Alaska",66,84,61
"G0400010","2016-2020","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04001",,,"Apache County, Arizona",32943,21505,11438,"Apache County, Arizona",102,420,418
"G0400030","2016-2020","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04003",,,"Cochise County, Arizona",61380,50917,10463,"Cochise County, Arizona",300,825,770
"G0400050","2016-2020","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04005",,,"Coconino County, Arizona",66807,49016,17791,"Coconino County, Arizona",473,859,695
"G0400070","2016-2020","AZ",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04007",,,"Gila County, Arizona",33714,22523,11191,"Gila County, Arizona",125,597,587
"G0400090","2016-2020","AZ",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04009",,,"Graham County, Arizona",13678,11348,2330,"Graham County, Arizona",135,319,292
"G0400110","2016-2020","AZ",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04011",,,"Greenlee County, Arizona",4465,3295,1170,"Greenlee County, Arizona",26,200,197
"G0400120","2016-2020","AZ",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US04012",,,"La Paz County, Arizona",16308,9928,6380,"La Paz County, Arizona",55,443,446
