GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G1200010","2012","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",113185,93245,19940,"Alachua County, Florida",1047,3063,2797
"G1200050","2012","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",99790,68653,31137,"Bay County, Florida",455,2566,2512
"G1200090","2012","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",270773,218094,52679,"Brevard County, Florida",511,3811,3796
"G1200110","2012","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",811284,663905,147379,"Broward County, Florida",804,7495,7384
"G1200150","2012","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",100918,71811,29107,"Charlotte County, Florida",477,2736,2737
"G1200170","2012","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",77913,58640,19273,"Citrus County, Florida",426,2729,2744
"G1200190","2012","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",76205,66918,9287,"Clay County, Florida",319,1985,1935
"G1200210","2012","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",199397,123714,75683,"Collier County, Florida",754,3654,3522
"G1200230","2012","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",28496,22636,5860,"Columbia County, Florida",380,1411,1370
"G1200310","2012","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",390256,328225,62031,"Duval County, Florida",1000,4877,4814
"G1200330","2012","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",137706,114077,23629,"Escambia County, Florida",950,2970,2693
"G1200350","2012","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",48918,36358,12560,"Flagler County, Florida",146,1803,1800
"G1200530","2012","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",84669,69222,15447,"Hernando County, Florida",535,2344,2304
"G1200550","2012","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",55210,39112,16098,"Highlands County, Florida",441,2029,2028
