GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACK3E001,ACK3E002,ACK3E003,ACK3E004,ACK3E005,ACK3E006,ACK3E007,ACK3E008,ACK3E009,ACK3E010,NAME_M,ACK3M001,ACK3M002,ACK3M003,ACK3M004,ACK3M005,ACK3M006,ACK3M007,ACK3M008,ACK3M009,ACK3M010
"G06036448","2015","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",87526,47273,2887,979,2120,0,32462,1805,688,1117,"Indio city, California",41,5066,2258,910,1502,201,4503,873,457,766
"G06036546","2015","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",111656,31421,42220,416,1677,71,32156,3695,432,3263,"Inglewood city, California",42,4874,5374,341,1096,132,5241,1126,369,1202
"G06036770","2015","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",256927,116385,7605,207,116420,362,4277,11671,757,10914,"Irvine city, California",35,7927,4039,219,8132,538,1071,3006,428,2945
"G06037692","2015","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",100314,56160,2853,987,4087,69,34044,2114,534,1580,"Jurupa Valley city, California",33,4852,1401,879,2798,131,4529,922,356,820
"G06039248","2015","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",65812,52322,397,800,6683,424,1494,3692,553,3139,"Laguna Niguel city, California",36,3157,348,1313,2102,481,1176,1255,474,1203
"G06039496","2015","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",82497,55977,1717,219,13868,0,5745,4971,378,4593,"Lake Forest city, California",40,4616,1228,220,3446,201,2924,1977,322,1958
"G06039892","2015","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",81592,40989,5351,142,17524,2176,11557,3853,1922,1931,"Lakewood city, California",75,3937,1508,178,3621,1656,3067,1271,943,798
"G06040130","2015","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",161113,104759,32622,536,7274,0,8969,6953,1638,5315,"Lancaster city, California",54,5487,5381,331,2323,201,1971,1553,790,1422
"G06041992","2015","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",88117,67710,1452,273,10932,109,1751,5890,672,5218,"Livermore city, California",40,3799,1595,242,3509,176,717,1608,559,1611
"G06043000","2015","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",474172,262242,58597,8376,58754,5017,60322,20864,5202,15662,"Long Beach city, California",128,8807,6002,2804,6707,2317,7036,3048,1687,2729
"G06044000","2015","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",3971896,2068389,364740,34816,457354,6663,906458,133476,35516,97960,"Los Angeles city, California",92,26176,11761,5284,11843,2651,25887,7917,4161,6880
"G06044574","2015","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",72005,47749,4915,375,865,0,16894,1207,933,274,"Lynwood city, California",59,4376,1978,443,740,201,3658,599,577,284
"G06045484","2015","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",75450,50999,4106,240,5682,820,7038,6565,457,6108,"Manteca city, California",32,4250,1902,267,2277,924,2318,2645,425,2658
"G06046842","2015","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",87163,58026,4919,742,4592,289,12835,5760,1490,4270,"Menifee city, California",45,4327,1740,454,1655,247,3850,1794,967,1665
"G06046898","2015","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",82440,38789,4699,855,8554,20,24768,4755,1452,3303,"Merced city, California",33,3667,1702,661,2547,34,3889,1498,656,1380
"G06047766","2015","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",77617,15425,2128,262,51283,349,6107,2063,397,1666,"Milpitas city, California",45,2917,1407,311,3594,587,2371,842,318,776
"G06048256","2015","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",97163,76857,1314,83,10335,181,3505,4888,953,3935,"Mission Viejo city, California",38,3582,1039,99,2747,229,2059,1337,580,1230
