GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANLTE001,ANLTE002,ANLTE003,ANLTE004,ANLTE005,ANLTE006,ANLTE007,ANLTE008,ANLTE009,ANLTE010,NAME_M,ANLTM001,ANLTM002,ANLTM003,ANLTM004,ANLTM005,ANLTM006,ANLTM007,ANLTM008,ANLTM009,ANLTM010
"G06022804","2021","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"1600000US0622804","0622804","Escondido city, California",150656,57719,4078,5232,13621,448,30973,38585,34349,4236,"Escondido city, California",47,5857,1902,2882,3576,404,5021,5164,5133,1190
"G06023182","2021","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"1600000US0623182","0623182","Fairfield city, California",119710,35745,16421,542,26822,1372,17291,21517,10193,11324,"Fairfield city, California",41,4131,3352,386,4093,1000,4015,3575,2498,2304
"G06024638","2021","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"1600000US0624638","0624638","Folsom city, California",81212,45625,4441,214,15947,53,4813,10119,5458,4661,"Folsom city, California",53,4004,2060,216,3102,94,1654,2100,1626,1633
"G06024680","2021","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"1600000US0624680","0624680","Fontana city, California",210786,33471,17688,4174,13343,937,109959,31214,22823,8391,"Fontana city, California",99,4440,3682,1782,2934,939,8255,5586,4896,3160
"G06026000","2021","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"1600000US0626000","0626000","Fremont city, California",227523,44531,5295,864,143377,2353,14795,16308,8213,8095,"Fremont city, California",52,4720,2101,511,5991,1187,4092,2937,2073,1843
"G06027000","2021","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"1600000US0627000","0627000","Fresno city, California",544500,168446,34704,7117,80586,1277,85133,167237,141071,26166,"Fresno city, California",80,9274,3243,1985,4926,504,8297,12052,11149,4688
"G06028000","2021","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"1600000US0628000","0628000","Fullerton city, California",141875,45536,4792,706,34244,476,25699,30422,25245,5177,"Fullerton city, California",32,5324,2121,463,4713,553,5765,5686,5649,1704
"G06029000","2021","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"1600000US0629000","0629000","Garden Grove city, California",170492,43934,2624,1449,75664,192,24196,22433,19413,3020,"Garden Grove city, California",38,5531,1682,877,7353,293,5498,4255,4199,874
"G06030000","2021","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"1600000US0630000","0630000","Glendale city, California",192376,118828,3646,2262,28795,119,25954,12772,6566,6206,"Glendale city, California",46,5909,1602,1777,4362,186,5279,3368,1686,2825
"G06032548","2021","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"1600000US0632548","0632548","Hawthorne city, California",86093,10509,19097,3860,5376,164,22255,24832,22296,2536,"Hawthorne city, California",30,2581,3870,2033,1993,285,4551,4216,4372,1678
"G06033000","2021","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"1600000US0633000","0633000","Hayward city, California",159839,28914,13852,1412,46149,4123,44433,20956,13927,7029,"Hayward city, California",53,3650,4048,1248,4333,1721,5512,4034,3439,2242
"G06033182","2021","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"1600000US0633182","0633182","Hemet city, California",90446,36234,9939,338,3081,63,22122,18669,14550,4119,"Hemet city, California",46,4725,3616,406,1418,102,5807,4485,3959,1776
"G06033434","2021","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"1600000US0633434","0633434","Hesperia city, California",100959,55950,1873,2121,1034,55,19451,20475,15372,5103,"Hesperia city, California",45,6047,1188,1470,560,110,4212,4288,3298,3063
"G06036000","2021","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"1600000US0636000","0636000","Huntington Beach city, California",196650,123942,1979,1033,24560,642,14414,30080,18238,11842,"Huntington Beach city, California",42,5863,1079,534,3540,559,3912,3797,3159,2297
"G06036448","2021","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"1600000US0636448","0636448","Indio city, California",90421,26465,1829,1222,2027,404,28059,30415,27693,2722,"Indio city, California",37,3774,931,827,849,402,5327,5168,5006,1405
"G06036546","2021","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"1600000US0636546","0636546","Inglewood city, California",105179,9193,45566,1059,1534,92,28155,19580,14682,4898,"Inglewood city, California",35,2016,4679,814,874,154,4581,3862,3395,2619
"G06036770","2021","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"1600000US0636770","0636770","Irvine city, California",309014,111087,8750,1574,136450,1697,11515,37941,20971,16970,"Irvine city, California",55,8795,3305,1816,10434,1034,3871,10353,10871,4657
"G06037692","2021","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"1600000US0637692","0637692","Jurupa Valley city, California",106937,20799,6100,1535,4759,135,60166,13443,11314,2129,"Jurupa Valley city, California",30,3567,2971,1087,2071,196,6007,3756,3582,1128
