GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSME001,AKSME002,AKSME003,AKSME004,AKSME005,AKSME006,AKSME007,AKSME008,AKSME009,AKSME010,NAME_M,AKSMM001,AKSMM002,AKSMM003,AKSMM004,AKSMM005,AKSMM006,AKSMM007,AKSMM008,AKSMM009,AKSMM010
"G06029000","2019","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",171670,73060,859,691,75333,406,16734,4587,564,4023,"Garden Grove city, California",80,7697,633,417,7314,428,4185,1552,345,1601
"G06030000","2019","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",199301,150462,3139,141,32297,330,7016,5916,616,5300,"Glendale city, California",37,5394,1372,191,4730,500,2292,1706,299,1712
"G06032548","2019","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",86062,51217,18505,275,4619,152,8501,2793,1183,1610,"Hawthorne city, California",41,3973,3164,368,1786,251,2342,884,660,637
"G06033000","2019","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",159202,46791,15163,1305,47010,4179,32600,12154,2734,9420,"Hayward city, California",35,5292,3669,679,5292,1628,5190,2508,1238,2061
"G06033182","2019","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",85341,65421,6380,586,1765,0,8279,2910,1245,1665,"Hemet city, California",39,4457,2076,406,1048,216,3425,1563,1301,831
"G06033434","2019","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",95753,75719,2855,895,2603,218,7912,5551,2376,3175,"Hesperia city, California",27,4846,1660,760,1277,259,2820,3073,2072,2221
"G06036000","2019","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",199228,133661,2307,907,25384,1822,22950,12197,2508,9689,"Huntington Beach city, California",45,6462,785,841,4133,925,6084,2362,1449,2125
"G06036448","2019","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",91756,66170,5790,893,1793,0,14300,2810,1036,1774,"Indio city, California",38,5644,4300,972,1033,216,5454,1596,895,1376
"G06036546","2019","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",108170,36297,43590,310,2617,155,21133,4068,1252,2816,"Inglewood city, California",67,5388,4987,268,1083,255,4544,1572,623,1379
"G06036770","2019","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",287387,137374,6776,293,123458,474,3515,15497,2047,13450,"Irvine city, California",48,8883,2756,296,8583,469,1974,3694,1254,3306
