GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G06016000","2018","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",129681,80258,4753,1383,14189,156,16421,12521,3013,9508,"Concord city, California",41,5369,1702,1250,2613,182,4747,3333,2127,2471
"G06016350","2018","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",168826,100921,11986,738,17378,1101,29887,6815,2219,4596,"Corona city, California",39,6850,3311,737,3731,720,5374,2110,1038,1591
"G06016532","2018","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",113610,78549,2242,396,11628,0,15874,4921,2222,2699,"Costa Mesa city, California",35,4928,1212,432,3232,211,4310,1811,1569,956
"G06017918","2018","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",107016,22549,2538,161,62960,880,11480,6448,1687,4761,"Daly City city, California",34,4035,1507,189,4499,1169,3582,1838,997,1418
"G06018100","2018","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",69288,45445,920,0,16367,0,1047,5509,381,5128,"Davis city, California",23,2306,609,211,2055,211,621,1863,497,1802
"G06019766","2018","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",112262,59139,4694,1764,7592,168,34372,4533,2420,2113,"Downey city, California",38,5440,2326,1454,2506,214,5619,1509,1422,933
"G06020802","2018","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",117961,57395,1254,299,1756,95,54567,2595,1124,1471,"East Los Angeles CDP, California",8632,7460,1110,309,886,104,6428,1355,897,1065
"G06021712","2018","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",103229,78246,5939,502,4967,437,7488,5650,725,4925,"El Cajon city, California",57,4071,2336,411,2042,510,2763,1738,655,1557
"G06022020","2018","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",172891,81436,20348,1968,48180,3844,4543,12572,1080,11492,"Elk Grove city, California",57,5914,4610,1461,5898,1667,1807,2566,799,2433
"G06022230","2018","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",115602,53017,842,1973,30897,347,18152,10374,9581,793,"El Monte city, California",59,5509,551,1863,4222,431,4020,4121,4086,774
"G06022804","2018","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",152232,115538,3781,1976,11072,284,12530,7051,1405,5646,"Escondido city, California",74,5869,1437,1482,3234,440,3287,2167,1109,1761
"G06023182","2018","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",116885,64471,16745,921,20227,424,4364,9733,415,9318,"Fairfield city, California",64,4652,2719,667,4014,588,1478,2462,246,2472
"G06024477","2018","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",,,,,,,,,,,"Florence-Graham CDP, California",,,,,,,,,,
"G06024638","2018","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",79015,53243,2180,289,14740,260,2385,5918,57,5861,"Folsom city, California",36,3958,917,232,3633,214,634,2507,75,2502
"G06024680","2018","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",213736,77981,16967,877,13046,334,94105,10426,5935,4491,"Fontana city, California",43,8210,3990,590,3437,359,8483,5514,4884,2476
"G06026000","2018","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",237815,56593,8492,1236,139437,2302,18406,11349,2912,8437,"Fremont city, California",53,5354,2854,605,6517,1302,4338,2457,1206,2030
"G06027000","2018","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",530073,317715,35127,7929,75516,775,69395,23616,5691,17925,"Fresno city, California",81,8896,3159,3627,5095,494,7439,3782,1675,3206
"G06028000","2018","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",139629,80375,3219,1250,34155,482,14334,5814,884,4930,"Fullerton city, California",48,5460,1501,910,4322,497,4703,1431,476,1407
"G06029000","2018","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",172652,66269,1762,880,68867,3903,26818,4153,467,3686,"Garden Grove city, California",41,6233,1176,541,5555,3880,5754,1396,390,1387
"G06030000","2018","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",201374,157995,2640,952,27051,125,6033,6578,1060,5518,"Glendale city, California",53,5757,1226,708,4687,144,2245,1613,599,1559
"G06032548","2018","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",86970,35610,24695,1182,7573,366,13425,4119,338,3781,"Hawthorne city, California",35,4755,4329,1314,2410,496,3717,2124,342,2090
"G06033000","2018","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",159618,44214,14445,1700,45727,2813,38214,12505,3886,8619,"Hayward city, California",42,5186,3269,1220,4791,1211,5170,2470,1510,2245
"G06033182","2018","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",85291,65498,5047,966,2968,97,7834,2881,786,2095,"Hemet city, California",67,4342,2373,568,2187,162,2747,1154,640,821
"G06033434","2018","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",95267,76781,3688,1164,2440,104,5922,5168,1182,3986,"Hesperia city, California",37,3382,1513,958,1278,129,1938,1911,572,1659
"G06036000","2018","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",200658,137202,2645,719,27359,1199,19137,12397,2906,9491,"Huntington Beach city, California",74,5790,1206,374,3835,1420,4323,3729,1629,3444
"G06036448","2018","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",91235,49161,1245,57,1394,0,37230,2148,967,1181,"Indio city, California",34,4401,750,92,841,211,4358,1055,611,961
"G06036546","2018","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",109427,29676,42425,1482,3786,746,25485,5827,1766,4061,"Inglewood city, California",40,4135,4066,983,2060,1136,4715,2071,1286,1405
"G06036770","2018","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",282584,137841,2936,1198,120706,402,5987,13514,1447,12067,"Irvine city, California",66,8231,1370,964,7731,465,2127,3762,695,3698
"G06037692","2018","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",108400,57260,3976,462,4927,363,37428,3984,1850,2134,"Jurupa Valley city, California",34,5795,1670,397,2633,353,5650,1718,1257,1268
"G06039248","2018","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",66265,49118,1799,0,6940,94,4764,3550,405,3145,"Laguna Niguel city, California",30,3356,1264,211,1710,111,2738,1344,545,1300
"G06039486","2018","CA",,,"California","06",,,"Lake Elsinore city","39486",,,,,,,,,,,,,,,,"16000US0639486","Lake Elsinore city, California",68187,35690,5920,690,4573,143,18008,3163,326,2837,"Lake Elsinore city, California",35,5012,4054,741,1653,255,4848,1707,372,1677
"G06039496","2018","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",85619,54985,3286,148,17223,344,3699,5934,225,5709,"Lake Forest city, California",40,3791,2312,175,2882,362,1822,2094,273,2118
"G06039892","2018","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",80132,36809,6878,439,15808,1030,14145,5023,775,4248,"Lakewood city, California",52,4238,2697,312,3336,931,4023,1313,496,1220
"G06040130","2018","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",159038,94937,32316,1615,6343,162,17314,6351,996,5355,"Lancaster city, California",56,5760,4204,1323,2114,133,4340,1509,445,1391
"G06041992","2018","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",90258,65759,2753,225,10895,788,4135,5703,1525,4178,"Livermore city, California",46,3992,1790,181,2675,555,1912,2022,1491,1060
"G06042202","2018","CA",,,"California","06",,,"Lodi city","42202",,,,,,,,,,,,,,,,"16000US0642202","Lodi city, California",66995,38623,871,172,9103,882,4065,13279,583,12696,"Lodi city, California",35,3714,762,168,3038,941,1466,3607,365,3631
