GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OJFE001,OJFE002,OJFE003,OJFE004,OJFE005,OJFE006,OJFE007,OJFE008,OJFE009,OJFE010,NAME_M,OJFM001,OJFM002,OJFM003,OJFM004,OJFM005,OJFM006,OJFM007,OJFM008,OJFM009,OJFM010
"G06029000","2012","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",174401,76936,2087,679,68143,388,20922,5246,1530,3716,"Garden Grove city, California",55,5300,1156,476,5282,536,4238,1509,808,1370
"G06030000","2012","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",194501,144148,3367,657,30594,104,9728,5903,1172,4731,"Glendale city, California",75,5227,1137,592,4234,182,2804,1363,649,1125
"G06032548","2012","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",85682,34330,25803,154,6102,760,14056,4477,1107,3370,"Hawthorne city, California",36,4374,4324,158,1622,1124,3731,1665,693,1410
"G06033000","2012","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",149398,58768,21503,1166,35000,2837,20242,9882,3135,6747,"Hayward city, California",40,5049,4149,756,4194,928,3690,1911,1307,1736
"G06033182","2012","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",81041,53659,7371,522,1150,157,12412,5770,1266,4504,"Hemet city, California",38,3777,2606,330,871,181,2918,2341,1108,2180
"G06033434","2012","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",92066,66291,6511,1486,1745,477,13004,2552,1475,1077,"Hesperia city, California",32,4372,3225,880,1048,661,3617,1035,867,669
"G06036000","2012","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",194712,150990,1644,790,20659,501,11814,8314,1998,6316,"Huntington Beach city, California",48,4815,1016,704,3456,668,3848,1675,876,1420
"G06036448","2012","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",79308,39738,3228,719,1579,90,31372,2582,623,1959,"Indio city, California",37,4526,1255,447,1070,124,4329,1585,394,1596
"G06036546","2012","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",111174,32872,48566,705,1178,800,23761,3292,1094,2198,"Inglewood city, California",42,4773,4538,770,825,660,4534,1519,793,1296
"G06036770","2012","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",230005,115796,3894,315,93022,173,6905,9900,1343,8557,"Irvine city, California",94,6855,1383,262,7128,286,3858,2919,764,2844
"G06037692","2012","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",97419,53546,2708,2161,2469,613,32716,3206,1659,1547,"Jurupa Valley city, California",43,5470,1190,1309,1269,551,5602,1135,806,728
"G06039496","2012","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",78853,54126,879,43,11673,472,8950,2710,390,2320,"Lake Forest city, California",35,4722,695,73,3114,510,3505,942,356,864
"G06039892","2012","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",80835,46904,5776,364,15544,765,6874,4608,650,3958,"Lakewood city, California",43,3410,2098,279,2821,813,2444,1426,414,1304
"G06040130","2012","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",159041,109865,27353,273,6956,950,8375,5269,2615,2654,"Lancaster city, California",50,4944,4156,200,2283,924,2170,1758,1380,955
"G06041992","2012","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",83541,66568,2328,585,6265,695,2764,4336,940,3396,"Livermore city, California",36,2823,1530,463,2395,506,2232,1568,637,1434
"G06043000","2012","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",467888,253647,61983,3831,56805,2841,51162,37619,3856,33763,"Long Beach city, California",45,11487,6291,1685,5898,2056,8167,6479,1449,5861
"G06044000","2012","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",3857786,2013642,360124,16392,442498,4853,879174,141103,41883,99220,"Los Angeles city, California",56,24813,11852,2416,12746,1499,22828,7606,4476,6980
"G06044574","2012","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",70720,17256,6864,408,300,0,45161,731,266,465,"Lynwood city, California",39,3379,2249,433,312,197,4267,494,349,421
"G06045484","2012","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",71070,47664,2106,216,5722,0,11477,3885,1389,2496,"Manteca city, California",31,3402,1282,202,1672,197,3030,1283,865,973
"G06046842","2012","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",81467,64840,4412,252,2237,97,6242,3387,407,2980,"Menifee city, California",40,3383,1412,188,1204,149,2840,1414,395,1394
"G06046898","2012","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",80799,46325,3396,668,10397,0,16379,3634,840,2794,"Merced city, California",37,3837,1122,585,2700,197,3254,1618,761,1383
"G06047766","2012","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",68807,12936,1128,187,46126,116,5926,2388,453,1935,"Milpitas city, California",30,2902,761,188,3623,140,2982,1142,380,1049
"G06048256","2012","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",95289,79713,717,272,7269,314,1885,5119,639,4480,"Mission Viejo city, California",31,2959,550,229,2088,468,1295,1580,668,1570
"G06048354","2012","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",203560,146283,7178,1303,13681,1143,23813,10159,2405,7754,"Modesto city, California",57,6384,2349,838,2853,1151,5096,2651,1149,2299
"G06049270","2012","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",199561,111335,33734,1571,8539,1000,36305,7077,1628,5449,"Moreno Valley city, California",49,7379,4930,1023,2490,1187,8609,1833,670,1826
"G06049670","2012","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",76612,48728,1150,198,18913,400,4572,2651,240,2411,"Mountain View city, California",43,3411,703,327,2605,389,2667,948,270,880
