GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G1800850","2014","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",8719,8354,0,117,0,158,448,307,455,235,665,1015,1045,1225,769,311,249,765,166,0,0,74,350,365,"Kosciusko County, Indiana",1148,1069,187,179,187,145,239,297,343,141,456,425,588,533,387,289,226,477,246,187,187,121,334,211
"G1800890","2014","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",56367,51734,1724,877,1086,1338,488,1271,556,2400,1981,4093,2845,5565,4079,3830,4658,4556,4451,3578,1201,965,192,4633,"Lake County, Indiana",3015,3003,641,550,503,467,335,599,259,841,746,994,910,1262,1168,998,1057,1119,1061,863,552,564,193,1239
"G1800910","2014","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",13016,12474,88,20,116,134,399,236,788,1293,625,1262,1685,2321,683,765,539,767,312,219,86,0,136,542,"LaPorte County, Indiana",1668,1695,141,35,137,157,322,169,507,545,360,546,580,866,363,457,348,491,331,196,106,187,189,387
"G1800950","2014","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",16524,15145,539,158,125,369,322,653,831,1778,1619,1782,2147,1264,1551,632,627,413,161,84,0,0,90,1379,"Madison County, Indiana",1626,1518,448,247,129,295,241,315,384,724,606,546,686,571,573,385,471,344,174,84,187,187,102,574
"G1800970","2014","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",164868,160170,709,1362,2642,2414,1060,2604,3310,8863,11264,20447,14950,16958,13808,12732,10354,13686,8477,8300,2968,1891,1371,4698,"Marion County, Indiana",5058,5020,359,571,995,688,425,877,908,1709,1744,2678,1816,2632,2046,1909,1802,2341,1561,1755,842,709,582,1113
"G1801050","2014","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",24380,23743,286,70,342,238,0,338,422,834,1485,1476,1991,1653,1937,2076,2279,2362,2158,1637,1534,538,87,637,"Monroe County, Indiana",1977,1966,220,114,375,333,187,446,395,484,608,642,757,662,652,759,819,656,737,640,721,454,132,358
"G1801090","2014","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",6049,5585,354,179,36,102,176,233,44,275,625,642,770,1000,66,263,0,341,329,150,0,0,0,464,"Morgan County, Indiana",1172,1120,310,163,60,127,134,228,75,210,392,383,554,441,88,195,187,306,316,185,187,187,187,277
"G1801270","2014","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",14536,14058,353,135,0,64,0,0,243,232,383,1139,813,1417,1673,1658,701,1582,1771,1255,88,432,119,478,"Porter County, Indiana",1625,1609,370,156,187,102,187,187,192,185,312,685,501,685,811,720,391,558,809,600,150,359,171,389
"G1801410","2014","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",33266,31803,499,275,303,895,967,1419,561,1669,3430,3659,3656,4011,2986,1741,1839,1550,402,990,526,201,224,1463,"St. Joseph County, Indiana",2157,2054,297,230,247,387,482,653,333,608,890,912,1116,911,917,628,572,634,295,386,363,134,208,555
"G1801570","2014","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",30520,29662,439,360,379,114,24,124,1095,1435,1528,2726,3060,2499,2941,1606,2341,2381,2390,2373,448,1111,288,858,"Tippecanoe County, Indiana",2338,2336,259,279,279,189,41,144,464,637,642,837,912,696,925,694,756,847,974,1030,276,460,277,449
