GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G3300050","2013","NH",,,"New Hampshire","33","Cheshire County","005",,,,,,,,,,,,,,,,,,"05000US33005","Cheshire County, New Hampshire",8692,8176,0,67,173,39,222,83,238,74,252,112,184,1037,308,1036,673,1189,986,918,499,86,0,516,"Cheshire County, New Hampshire",1219,1235,185,79,203,64,232,103,209,124,263,97,184,714,247,476,494,654,449,478,449,92,185,253
"G3300090","2013","NH",,,"New Hampshire","33","Grafton County","009",,,,,,,,,,,,,,,,,,"05000US33009","Grafton County, New Hampshire",12247,11865,29,103,25,392,96,398,221,449,50,505,310,1154,961,1120,340,2150,673,1098,969,610,212,382,"Grafton County, New Hampshire",1422,1399,46,186,42,416,105,291,257,263,48,564,277,635,429,728,204,727,383,552,480,346,204,203
"G3300110","2013","NH",,,"New Hampshire","33","Hillsborough County","011",,,,,,,,,,,,,,,,,,"05000US33011","Hillsborough County, New Hampshire",53375,52392,85,206,492,1344,556,872,680,530,354,692,1489,1048,2189,2375,2967,7240,8048,12650,5496,2800,279,983,"Hillsborough County, New Hampshire",2837,2797,102,267,317,706,295,616,409,291,266,296,612,523,806,719,959,1459,1225,1736,1364,971,210,386
"G3300130","2013","NH",,,"New Hampshire","33","Merrimack County","013",,,,,,,,,,,,,,,,,,"05000US33013","Merrimack County, New Hampshire",15016,14257,26,98,204,504,270,254,433,268,198,186,306,277,605,608,1755,2194,1938,2217,978,938,0,759,"Merrimack County, New Hampshire",1770,1716,42,169,173,446,307,185,317,214,188,148,301,188,355,341,677,501,647,781,437,465,185,461
"G3300150","2013","NH",,,"New Hampshire","33","Rockingham County","015",,,,,,,,,,,,,,,,,,"05000US33015","Rockingham County, New Hampshire",28049,26420,473,54,0,477,562,249,510,341,119,206,155,568,553,1081,703,4089,2957,7047,3233,1893,1150,1629,"Rockingham County, New Hampshire",2302,2321,480,87,185,397,385,201,285,339,141,181,140,475,334,600,477,1144,823,1399,1227,705,569,657
"G3300170","2013","NH",,,"New Hampshire","33","Strafford County","017",,,,,,,,,,,,,,,,,,"05000US33017","Strafford County, New Hampshire",17913,17362,0,0,378,106,49,432,246,158,162,234,648,540,1188,688,1006,3201,2308,3699,1091,1146,82,551,"Strafford County, New Hampshire",1636,1586,185,185,335,171,85,442,246,167,180,156,520,516,612,460,517,1010,791,1063,576,690,100,466
"G3400010","2013","NJ",,,"New Jersey","34","Atlantic County","001",,,,,,,,,,,,,,,,,,"05000US34001","Atlantic County, New Jersey",34076,32740,386,214,925,1071,463,442,530,812,232,694,310,1342,1459,1547,2311,4838,4435,6275,2432,1674,348,1336,"Atlantic County, New Jersey",2743,2647,254,167,500,504,306,309,328,533,198,451,320,556,616,565,896,1218,1060,1253,827,615,254,498
"G3400030","2013","NJ",,,"New Jersey","34","Bergen County","003",,,,,,,,,,,,,,,,,,"05000US34003","Bergen County, New Jersey",119763,116083,589,742,578,2367,611,640,205,868,127,846,209,921,1303,2503,2561,6152,9934,30345,20904,21821,11857,3680,"Bergen County, New Jersey",4209,4128,385,620,546,683,397,429,197,472,127,449,196,581,604,936,941,1127,1885,2478,3071,2984,1739,1008
"G3400050","2013","NJ",,,"New Jersey","34","Burlington County","005",,,,,,,,,,,,,,,,,,"05000US34005","Burlington County, New Jersey",34877,33425,184,137,171,331,50,49,141,499,193,564,976,914,782,904,1417,2805,4469,7097,4371,5034,2337,1452,"Burlington County, New Jersey",2526,2451,301,149,117,216,80,81,135,342,205,421,591,565,411,494,659,822,1116,1290,1001,1225,664,469
"G3400070","2013","NJ",,,"New Jersey","34","Camden County","007",,,,,,,,,,,,,,,,,,"05000US34007","Camden County, New Jersey",63191,61006,1176,816,1427,2161,907,552,1597,900,1161,1102,1788,1504,3133,4763,4095,10273,7309,8091,4627,2418,1206,2185,"Camden County, New Jersey",3452,3468,470,398,548,805,360,339,879,559,606,452,667,593,1034,1144,1116,1805,1411,1640,1063,797,631,533
"G3400090","2013","NJ",,,"New Jersey","34","Cape May County","009",,,,,,,,,,,,,,,,,,"05000US34009","Cape May County, New Jersey",7922,6769,146,61,38,211,89,97,205,69,99,212,114,205,359,440,786,860,655,1101,490,250,282,1153,"Cape May County, New Jersey",1233,1168,217,85,63,212,106,109,134,84,104,148,140,173,202,280,483,442,302,499,275,169,381,360
"G3400110","2013","NJ",,,"New Jersey","34","Cumberland County","011",,,,,,,,,,,,,,,,,,"05000US34011","Cumberland County, New Jersey",18542,17749,480,798,222,474,899,231,307,796,345,172,343,1194,623,1480,1661,2166,2205,2323,661,76,293,793,"Cumberland County, New Jersey",1975,1935,345,638,171,532,612,206,264,519,291,197,259,710,417,736,730,853,822,813,491,100,409,413
