GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G3700010","2018","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,"05000US37001","Alamance County, North Carolina",21578,20379,452,189,131,703,301,729,657,960,807,2202,1135,1722,2170,978,1807,2484,1089,1058,124,456,0,150,42,33,1199,"Alamance County, North Carolina",1962,1899,381,207,147,486,308,433,601,686,477,810,606,769,771,525,802,910,530,655,150,374,210,126,73,56,486
"G3700190","2018","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,"05000US37019","Brunswick County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brunswick County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3700210","2018","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,"05000US37021","Buncombe County, North Carolina",38117,35327,63,191,230,1097,886,909,378,887,1039,2197,598,1943,1545,1427,1295,4072,3141,7270,3553,1347,753,265,95,146,2790,"Buncombe County, North Carolina",3094,2988,107,176,147,641,513,593,372,532,483,891,338,916,708,660,692,1411,953,1391,1322,525,466,225,135,248,1013
"G3700230","2018","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,"05000US37023","Burke County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burke County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3700250","2018","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,"05000US37025","Cabarrus County, North Carolina",20208,19590,0,142,380,122,34,1311,369,314,1249,690,883,1661,2116,1334,1582,2052,896,1108,1494,1385,380,0,88,0,618,"Cabarrus County, North Carolina",1984,1991,210,176,452,167,60,909,368,310,604,361,392,747,1071,710,769,837,475,626,616,656,331,210,148,210,382
"G3700270","2018","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,"05000US37027","Caldwell County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caldwell County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3700310","2018","NC",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,,"05000US37031","Carteret County, North Carolina",7282,6655,167,25,27,445,125,100,181,122,196,466,582,692,496,360,188,923,337,865,203,155,0,0,0,0,627,"Carteret County, North Carolina",1266,1184,176,47,44,400,124,111,210,125,163,328,400,403,329,275,109,436,208,351,147,96,210,210,210,210,325
"G3700350","2018","NC",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,,"05000US37035","Catawba County, North Carolina",18820,17685,555,110,448,203,147,645,1391,1748,1515,1175,2744,1215,825,1231,694,403,1663,568,0,307,54,44,0,0,1135,"Catawba County, North Carolina",2232,2149,520,90,378,189,123,436,672,694,743,548,937,711,421,619,386,440,706,381,210,382,88,73,210,210,619
"G3700370","2018","NC",,,"North Carolina","37","Chatham County","037",,,,,,,,,,,,,,,,,,"05000US37037","Chatham County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chatham County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3700450","2018","NC",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,,"05000US37045","Cleveland County, North Carolina",11269,10079,529,58,189,202,332,709,1313,1262,878,501,650,364,690,663,320,799,40,545,35,0,0,0,0,0,1190,"Cleveland County, North Carolina",1717,1616,447,84,195,221,270,523,674,620,470,377,489,272,469,511,343,494,69,386,63,210,210,210,210,210,541
"G3700490","2018","NC",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,,"05000US37049","Craven County, North Carolina",16317,15268,293,263,493,347,749,534,281,820,123,1232,538,653,828,729,1042,2109,1554,1388,794,453,0,0,45,0,1049,"Craven County, North Carolina",1869,1964,351,221,323,253,473,562,339,670,136,557,611,456,522,397,691,824,764,649,473,326,210,210,79,210,599
