GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G06011530","2015","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",24956,712,1091,601,1009,651,888,910,885,218,2007,3065,3950,3370,2166,1933,1500,"Carson city, California",1512,315,540,472,524,360,398,442,473,186,612,780,858,829,645,636,582
"G06013014","2015","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",34919,3793,2894,2251,2008,978,1386,1917,1866,2414,1766,3173,3746,2319,1788,1507,1113,"Chico city, California",1414,1012,921,839,580,525,576,829,690,826,638,942,927,646,524,593,434
"G06013210","2015","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",17610,467,976,620,881,998,329,230,597,590,1485,1895,2367,2235,1429,1708,803,"Chino city, California",1670,190,429,397,428,524,241,142,333,282,541,538,670,568,442,552,337
"G06013214","2015","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",25659,425,382,266,1175,763,661,291,594,296,1534,2506,3041,4444,2525,4224,2532,"Chino Hills city, California",1412,281,264,238,601,436,381,193,469,202,730,744,761,1178,798,1014,711
"G06013392","2015","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",79461,4048,3449,2964,3050,3220,2778,3694,3285,2515,6166,7700,13071,8555,6279,4822,3865,"Chula Vista city, California",2705,1329,971,847,944,854,789,986,1002,751,1611,1042,2164,1694,1295,1220,962
"G06013588","2015","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",34610,1655,1383,1583,2935,1814,2312,1635,1834,2254,3111,3609,4753,2713,1644,812,563,"Citrus Heights city, California",1936,654,587,696,1058,598,701,601,677,683,846,944,988,919,515,347,240
"G06014218","2015","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",37621,2002,1331,1651,1116,1874,1567,1395,1897,1019,3877,3521,4945,4662,2864,2341,1559,"Clovis city, California",1777,897,541,669,494,818,761,490,710,538,1113,984,985,936,729,655,529
"G06015044","2015","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",23978,1831,1532,1317,1008,1096,2214,1280,1417,1688,2309,2815,2676,1312,658,594,231,"Compton city, California",1181,576,594,516,400,425,612,471,521,546,605,766,796,495,327,302,232
"G06016000","2015","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",46885,1440,1481,1289,2234,2246,1817,2218,926,1589,3830,5311,6032,4828,3949,4433,3262,"Concord city, California",2098,679,620,573,766,1046,775,867,440,629,997,1218,1228,1227,840,868,730
"G06016350","2015","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",55011,3087,1905,2841,2199,1867,1653,2601,2680,1505,2854,5583,8123,6536,3940,4404,3233,"Corona city, California",2529,923,651,1005,863,647,630,776,1013,603,692,1147,1414,1250,967,831,749
"G06016532","2015","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",42871,2451,1385,1218,1309,1330,2190,1755,1886,1621,2643,4250,5905,4243,3593,3134,3958,"Costa Mesa city, California",2103,856,691,608,654,493,645,684,605,725,877,1058,1313,1210,922,739,1098
"G06017918","2015","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",32434,1500,464,918,986,973,1143,1257,1313,865,2261,2859,4596,4010,3316,3971,2002,"Daly City city, California",1556,586,390,486,551,491,488,574,569,393,856,860,975,904,937,981,667
"G06018100","2015","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",24426,2826,1753,1818,410,869,549,937,621,1093,1523,1426,2097,1968,1961,1433,3142,"Davis city, California",1212,782,944,706,274,509,302,450,317,454,476,531,651,539,580,404,587
"G06019766","2015","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",32932,1349,985,793,1187,1292,1522,1530,1502,1318,2489,4462,5324,4068,1383,1711,2017,"Downey city, California",1456,721,504,322,524,501,702,598,628,582,885,1019,1035,1011,533,650,651
