GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G06013014","2019","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",37040,2999,1886,1579,1513,1980,1885,1389,1374,1501,2465,3306,5133,3142,1587,1558,3743,"Chico city, California",1817,909,723,670,654,842,832,637,580,615,846,963,946,812,677,582,1101
"G06013210","2019","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",26079,576,575,1076,647,256,779,459,1420,656,2126,2034,3911,4475,3581,1763,1745,"Chino city, California",1651,398,398,590,453,263,438,313,767,453,815,752,1159,946,1035,582,480
"G06013214","2019","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",26856,427,82,303,852,288,682,425,1066,362,1537,2799,3623,3459,2655,3275,5021,"Chino Hills city, California",1717,311,131,221,646,235,437,336,599,393,683,965,1283,1109,887,909,1096
"G06013392","2019","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",82916,2780,2425,2304,2106,2293,3369,2829,2699,2201,4616,6236,14694,9748,7591,8836,8189,"Chula Vista city, California",3478,895,1014,852,954,830,1034,831,949,889,1330,1391,2628,1714,1667,1786,1482
"G06013588","2019","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",36460,2132,886,996,1571,1681,1142,2355,1725,1800,3198,5460,5130,3374,1872,1770,1368,"Citrus Heights city, California",2138,955,371,555,770,924,520,872,765,720,856,1102,1157,1044,583,563,620
"G06014218","2019","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",39269,1400,1429,761,904,1209,1495,1358,1862,999,1586,3984,5164,3697,3464,4963,4994,"Clovis city, California",1601,520,521,517,434,758,806,641,835,440,664,945,1086,836,1004,901,1036
"G06015044","2019","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",21757,452,1149,705,1238,1093,1326,444,652,865,2342,2874,3355,2318,1615,629,700,"Compton city, California",1315,274,590,463,545,442,617,243,378,448,705,840,765,765,526,372,458
"G06016000","2019","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",45071,2094,1936,972,810,821,1521,891,1669,899,1510,3856,4429,5673,4666,6672,6652,"Concord city, California",2116,879,1039,502,458,647,799,572,916,499,700,918,1011,1492,1049,1537,1204
"G06016350","2019","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",47793,1104,1079,816,1132,1636,1374,1448,2642,1503,3139,4744,4945,6354,4240,5571,6066,"Corona city, California",1867,413,512,366,508,731,531,576,804,574,912,1231,1009,1089,983,1204,1206
"G06016532","2019","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",38762,1302,776,1472,681,908,981,1386,1002,974,1494,3751,5337,6069,2710,4452,5467,"Costa Mesa city, California",2098,531,575,586,404,527,465,563,506,621,537,1210,1226,1301,780,967,1080
"G06017918","2019","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",31289,390,726,837,361,543,980,590,1043,880,1796,2891,4121,3348,3643,3500,5640,"Daly City city, California",1653,265,499,435,396,435,473,602,694,577,757,1121,1206,1182,1064,835,1037
"G06018100","2019","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",26367,3189,1630,740,1080,716,351,454,1382,866,2720,1624,1974,2442,1635,2366,3198,"Davis city, California",1463,1003,884,431,657,394,279,317,885,528,1101,590,679,743,537,781,717
"G06019766","2019","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",32073,713,644,477,1970,948,1325,2031,1245,687,1916,4234,5250,3820,2034,2202,2577,"Downey city, California",1668,404,422,341,922,610,576,1038,531,363,617,1142,1467,1033,788,779,741
"G06020802","2019","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",30676,1203,1606,1875,2611,1244,1566,1725,1705,1176,2145,3694,4710,1865,1895,1265,391,"East Los Angeles CDP, California",2093,571,614,705,824,517,645,547,717,599,733,957,990,563,591,526,273
"G06021712","2019","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",32139,730,1466,1755,1749,1101,988,1438,2010,1645,1970,3678,4451,2396,2607,1930,2225,"El Cajon city, California",1856,531,596,696,876,652,512,660,909,817,811,1058,1063,1183,726,820,874
