GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G0501450","2011","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",30359,3643,2013,2562,1650,819,1601,1752,1234,1267,1725,3404,4578,2517,591,638,365,"White County, Arkansas",955,1001,735,763,676,422,527,607,552,522,697,1027,1295,892,376,384,341
"G0600010","2011","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",545559,32180,26525,21049,27552,19453,23282,18504,19222,16786,38078,54160,63628,58123,32503,44888,49626,"Alameda County, California",3859,2775,2747,2074,2587,2379,2294,1949,2664,2024,3338,3939,4137,3861,2931,2725,2727
"G0600070","2011","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",83634,7146,7574,6223,7756,3957,4952,5108,3078,3186,6655,6470,9522,5819,2640,2000,1548,"Butte County, California",2139,1166,1564,1050,1452,1066,1200,1214,926,943,1306,1277,1601,1267,697,678,550
"G0600130","2011","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",376326,16732,14146,16795,14047,13701,15259,13666,13958,14860,23922,32386,43844,42001,27609,35059,38341,"Contra Costa County, California",3606,2557,1969,2343,1924,2141,2493,2032,2273,2082,2480,2657,3945,3571,3126,3869,3282
"G0600170","2011","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",68111,3259,2693,2805,3437,3348,3570,2687,3199,2981,5564,5725,9262,5628,3992,6029,3932,"El Dorado County, California",2157,977,803,883,1009,1036,960,768,996,944,1288,1105,1473,1154,947,1371,941
"G0600190","2011","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",286255,22539,21276,20562,20269,15388,18749,14190,15561,13120,20336,26894,30873,18234,11010,9988,7266,"Fresno County, California",3145,2119,2355,2017,2496,2136,2207,1669,2004,1931,1945,2654,3042,2367,1591,1542,1351
"G0600230","2011","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",51183,5278,3650,3665,3378,3177,3291,2628,2338,3089,4575,4826,5035,2794,1494,967,998,"Humboldt County, California",1614,1230,851,930,958,1006,859,846,733,991,869,932,1021,744,589,353,391
"G0600250","2011","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",48790,5890,4209,3899,3142,3049,3302,1752,2175,1446,3558,4301,4673,3360,1428,1513,1093,"Imperial County, California",1415,1133,1069,845,825,785,891,704,770,587,916,1221,1093,960,534,545,412
"G0600290","2011","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",254761,20479,20512,15488,17073,15067,13700,12518,12056,10520,19607,26653,27931,16999,9309,10267,6582,"Kern County, California",4248,2375,2612,2155,2443,2057,1897,1657,1860,1712,2475,2767,2983,1910,1486,1736,1213
"G0600310","2011","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",40800,3955,1577,2536,2389,2258,2281,2377,1740,985,3985,4141,5173,2505,1913,1771,1214,"Kings County, California",1221,1067,556,676,738,744,663,719,604,460,1138,971,1090,811,660,709,616
"G0600330","2011","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",28885,1919,1760,2276,3248,2416,2439,1440,1404,2220,1720,2040,2169,1934,1034,616,250,"Lake County, California",1434,807,796,841,977,1034,812,685,537,848,656,680,806,617,531,393,271
