GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G0600290","2012","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",255967,16115,19035,18461,15569,16392,14980,13595,12206,8929,19232,27470,28376,16737,10172,11973,6725,"Kern County, California",3215,1784,2227,2526,2232,1997,1843,1837,1665,1421,2216,2705,2611,1599,1562,1672,1438
"G0600310","2012","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",40376,3039,2136,1808,3524,1996,2647,1990,2624,2425,3046,4512,3947,1957,2132,1567,1026,"Kings County, California",1216,894,584,556,891,708,761,584,818,819,768,966,851,647,744,518,395
"G0600330","2012","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",26228,3806,3119,1682,1737,2256,893,1194,1304,1291,2209,1915,2516,1107,434,317,448,"Lake County, California",1561,984,1038,613,719,586,450,551,704,532,776,719,707,465,358,279,423
"G0600370","2012","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3231660,236921,194428,175181,183265,149501,159570,151679,149876,124349,235430,305254,369020,263796,157485,173753,202152,"Los Angeles County, California",7188,7501,6238,5304,5407,5224,5736,5321,5109,5805,6876,6841,7178,6188,5224,6664,5964
"G0600390","2012","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",41035,4396,1927,3798,3022,1955,2242,2241,2216,2371,3474,3712,4197,2453,1259,895,877,"Madera County, California",1666,1149,580,985,859,668,846,713,680,837,1069,844,897,623,499,361,404
"G0600410","2012","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",102427,3836,3468,2981,3487,3197,3178,4182,3483,2013,5332,8252,11690,10372,7374,11044,18538,"Marin County, California",1729,1044,1075,741,849,869,825,1095,1044,657,967,1230,1484,1577,1204,1428,1596
"G0600450","2012","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",35203,3078,3425,2718,2488,1542,2345,1718,1031,1615,3263,3439,3691,2775,1071,680,324,"Mendocino County, California",1046,855,942,850,913,510,632,552,362,614,855,749,798,855,534,360,201
"G0600470","2012","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",76451,7100,4538,5270,5946,4574,4718,3477,3218,3230,7526,7191,7922,4964,2822,2220,1735,"Merced County, California",1882,1311,828,1206,1199,1109,1044,701,772,858,1467,1233,1300,1050,759,980,657
"G0600530","2012","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",124171,4533,6367,7176,6046,5169,6950,5965,4440,6580,10012,15049,15346,11449,5693,7407,5989,"Monterey County, California",1866,997,1181,1170,1272,1019,1103,992,1012,1123,1525,1539,1693,1476,1070,1254,1013
"G0600550","2012","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",48224,1870,2074,1646,1578,1801,2253,1933,1948,2274,3487,5250,6835,4825,3321,3570,3559,"Napa County, California",1493,531,572,549,500,644,592,531,606,802,747,1004,986,980,624,732,729
"G0600570","2012","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",41632,1043,1692,1266,2398,2868,2845,2283,3075,1826,2802,4460,4546,4880,1953,2226,1469,"Nevada County, California",1877,416,698,535,832,929,940,678,823,650,866,999,998,1017,628,695,583
"G0600590","2012","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",995368,45947,35859,38528,39082,37666,37086,38132,35030,37633,72016,97912,127241,102001,70624,85038,95573,"Orange County, California",4462,2923,2179,3120,3036,3154,2931,2789,2856,3165,3482,4243,4392,4304,4144,4198,4092
"G0600610","2012","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",133093,4634,5714,6125,4668,5620,5802,5490,4798,5039,9259,15349,16857,15773,9205,10428,8332,"Placer County, California",1903,1083,1085,1095,939,1148,1043,1120,915,990,1263,1788,1802,1722,1159,1318,1098
"G0600650","2012","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",685260,40884,37131,38211,39953,35272,35888,33334,34296,30437,53482,69066,89653,53627,34962,35537,23527,"Riverside County, California",5695,2783,2620,3153,3010,2582,2786,2922,2858,2783,3503,4092,5456,3527,2844,2806,2410
"G0600670","2012","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",516645,37402,32514,26335,28586,25794,25116,24226,25580,18351,40785,53794,64101,44283,26251,23829,19698,"Sacramento County, California",4256,2679,2873,2661,2583,2829,2623,2097,2795,1967,2775,3656,3764,3081,2492,2298,1678
"G0600710","2012","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",600688,44835,34615,33977,33557,32356,30415,28508,30828,26314,50228,61005,76570,49099,27378,24901,16102,"San Bernardino County, California",4919,3259,2906,2989,2910,2694,3091,2685,2541,2533,3189,3915,5151,3824,2743,2226,2127
"G0600730","2012","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1079653,72365,48361,45695,53781,47309,53368,43366,48745,42188,81360,105006,137522,95691,63111,75477,66308,"San Diego County, California",5725,4425,3372,3205,4099,3606,3670,3201,3307,3030,4561,5441,4948,4240,3913,4498,3985
"G0600750","2012","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",346842,27250,23320,14652,14347,9155,11984,8465,11037,9548,20451,26404,36061,32169,22313,33461,46225,"San Francisco County, California",3718,2387,2480,1881,1630,1454,1781,1495,1693,1393,2439,2481,2885,2744,2662,3080,3664
"G0600770","2012","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",215761,15710,13717,11201,13372,11450,11241,8146,11324,9930,17553,20747,25060,17857,9469,11782,7202,"San Joaquin County, California",2366,1777,1816,1655,1754,1404,1621,1247,1618,1693,2162,1970,2057,2240,1673,1802,1250
"G0600790","2012","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",101897,6179,4936,3956,4419,3468,4953,4918,5395,5447,7015,9361,14765,10270,5796,5733,5286,"San Luis Obispo County, California",2448,1180,1190,939,1158,842,1331,1354,1254,1259,1431,1408,1769,1902,1041,941,1035
"G0600810","2012","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",258888,8440,7856,7017,9170,8349,9819,7609,9755,9133,16029,25583,31805,27211,19690,20928,40494,"San Mateo County, California",2061,1448,1376,1367,1281,1566,1637,1303,1396,1540,2080,2473,2573,2446,1877,1821,2509
