GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G0600450","2019","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",34478,1315,2706,1779,2285,1666,1536,1072,2697,1449,3241,3184,3612,3745,1192,1600,1399,"Mendocino County, California",1479,611,792,799,893,739,702,387,1114,891,1063,966,958,1085,517,780,455
"G0600470","2019","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",80645,2718,3659,3274,4389,3279,3847,4573,4095,3374,6126,10004,10945,8336,2931,4726,4369,"Merced County, California",1718,1057,1019,996,1278,1060,1546,1544,864,901,1261,2299,1871,1557,1009,1243,1280
"G0600530","2019","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",128227,4158,2881,4723,5939,4337,4674,4273,4801,4804,8049,12433,20215,13207,10578,9614,13541,"Monterey County, California",2197,1135,702,1259,1186,1271,1156,1146,952,1125,1656,1800,2447,1910,1469,1310,1420
"G0600550","2019","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",48107,1625,1541,758,1046,1007,935,1289,1791,2087,2962,3828,6788,5329,3095,5425,8601,"Napa County, California",1441,609,597,432,473,437,373,509,716,825,788,882,1090,1028,716,925,903
"G0600570","2019","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",39365,1370,622,1342,2438,1490,2890,2082,1930,1759,1858,3462,5344,2841,2455,2671,4811,"Nevada County, California",2247,560,434,580,944,774,1076,945,772,732,685,1063,1291,853,634,866,1060
"G0600590","2019","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1044280,42330,26740,22975,28379,25818,30713,28022,29257,28990,60116,88005,129652,119913,85490,120403,177477,"Orange County, California",6750,4038,3006,2455,2380,3011,2654,3020,2965,2905,4145,4650,5157,5565,5374,5508,6753
"G0600610","2019","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",147236,4092,3661,3377,4793,3190,5199,3191,3620,4144,9509,10491,19882,16477,14147,17286,24177,"Placer County, California",1902,1103,1125,1029,1212,757,1562,946,903,1179,1698,1544,1997,2071,2075,2077,2303
"G0600650","2019","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",734948,36422,26920,23735,29424,26343,24583,27906,26579,26240,54220,72490,99515,82187,53108,63507,61769,"Riverside County, California",6129,3945,2667,2626,3430,2835,2350,3329,2982,2858,4301,4645,5495,4325,3745,3544,4695
"G0600670","2019","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",556752,24302,22101,17398,22338,19461,23795,21137,22459,18440,41379,56836,76266,61180,35438,47268,46954,"Sacramento County, California",2991,2601,2538,2306,2621,2365,2402,2454,2675,2414,3353,4177,4529,3995,3143,3336,2806
"G0600710","2019","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",644758,31350,24284,19221,27683,26936,29112,27281,27994,22283,47701,65216,94889,67644,44645,48506,40013,"San Bernardino County, California",4633,3143,2651,2514,3361,3277,3415,2822,3443,2549,3570,4691,6100,4613,3843,4181,2836
