GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G2400270","2016","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,"05000US24027","Howard County, Maryland",112542,2252,2170,2318,1339,2809,1900,2736,1896,2043,3880,8537,14321,11929,12186,16430,25796,"Howard County, Maryland",1721,825,815,823,497,1185,1013,990,747,862,922,1398,1881,1798,1819,1650,2028
"G2400310","2016","MD",,,"Maryland","24","Montgomery County","031",,,,,,,,,,,,,,,,,,"05000US24031","Montgomery County, Maryland",373346,14366,9206,7243,9388,9958,9704,8578,9495,9392,19302,31888,48563,39461,29964,43852,72986,"Montgomery County, Maryland",2949,1848,1550,1396,1357,1839,1890,1672,1414,1592,2098,2983,3147,2901,2506,2417,2507
"G2400330","2016","MD",,,"Maryland","24","Prince George's County","033",,,,,,,,,,,,,,,,,,"05000US24033","Prince George's County, Maryland",307816,12775,6393,6847,9718,8348,10618,10038,11984,10839,24550,33788,47462,37230,25383,28881,22962,"Prince George's County, Maryland",2685,1681,1298,1173,1688,1328,1523,1450,1581,1641,2683,2278,2935,2851,2082,2214,1883
"G2400370","2016","MD",,,"Maryland","24","St. Mary's County","037",,,,,,,,,,,,,,,,,,"05000US24037","St. Mary's County, Maryland",41368,1624,1204,1486,1004,2044,1330,1435,1717,768,3066,4105,5159,6155,3272,4270,2729,"St. Mary's County, Maryland",1136,599,541,670,698,901,814,718,609,411,990,883,1042,1562,780,1055,700
"G2400430","2016","MD",,,"Maryland","24","Washington County","043",,,,,,,,,,,,,,,,,,"05000US24043","Washington County, Maryland",55824,3506,2848,2789,3309,1894,3676,2777,2866,1850,5022,5663,7441,4317,3547,2666,1653,"Washington County, Maryland",1661,872,870,921,799,729,904,880,775,779,1250,1094,1304,1056,884,813,515
"G2400450","2016","MD",,,"Maryland","24","Wicomico County","045",,,,,,,,,,,,,,,,,,"05000US24045","Wicomico County, Maryland",36774,2298,1647,1968,2824,2124,2360,1766,1920,1290,3001,3939,4393,2950,1913,1487,894,"Wicomico County, Maryland",1554,671,675,649,899,830,936,756,806,510,941,1034,996,660,648,553,379
"G2405100","2016","MD",,,"Maryland","24","Baltimore city","510",,,,,,,,,,,,,,,,,,"05000US24510","Baltimore city, Maryland",240761,29913,14215,15056,11764,10756,11718,11426,10503,9308,20107,22441,25500,15953,9345,9823,12933,"Baltimore city, Maryland",4046,2629,1985,2008,1453,1607,1657,1533,1412,1804,2439,2319,1829,1932,1454,1159,1340
"G2500010","2016","MA",,,"Massachusetts","25","Barnstable County","001",,,,,,,,,,,,,,,,,,"05000US25001","Barnstable County, Massachusetts",92582,4026,3778,3736,3695,3384,3924,5215,3547,3596,6187,9926,12957,9115,6346,6246,6904,"Barnstable County, Massachusetts",3857,1084,958,896,838,945,846,1173,937,919,1190,1595,1524,1265,1029,1140,1347
"G2500030","2016","MA",,,"Massachusetts","25","Berkshire County","003",,,,,,,,,,,,,,,,,,"05000US25003","Berkshire County, Massachusetts",54204,2716,2946,2615,2475,2892,2384,2664,2766,2276,3923,5712,7326,4715,3489,2683,2622,"Berkshire County, Massachusetts",1712,899,873,619,542,774,725,788,602,714,900,1138,1215,965,725,695,602
"G2500050","2016","MA",,,"Massachusetts","25","Bristol County","005",,,,,,,,,,,,,,,,,,"05000US25005","Bristol County, Massachusetts",214232,13600,10834,9437,9443,9116,8484,10124,8012,7187,13521,19231,28273,21988,15603,15802,13577,"Bristol County, Massachusetts",2316,1950,1506,1456,1592,1433,1529,1912,1334,1467,1935,2039,2380,1923,2038,1858,1500
"G2500090","2016","MA",,,"Massachusetts","25","Essex County","009",,,,,,,,,,,,,,,,,,"05000US25009","Essex County, Massachusetts",289817,17232,16568,9863,10647,9593,9223,9711,9143,8404,19681,26561,37999,27797,19862,26795,30738,"Essex County, Massachusetts",2773,2129,1956,1588,1355,1725,1553,1459,1478,1373,2545,2890,2642,2774,2323,1985,2294
"G2500110","2016","MA",,,"Massachusetts","25","Franklin County","011",,,,,,,,,,,,,,,,,,"05000US25011","Franklin County, Massachusetts",30868,1259,1579,1908,1839,1919,1663,1306,1343,916,2415,2830,4590,2515,1513,1670,1603,"Franklin County, Massachusetts",736,429,531,624,666,687,530,424,423,420,604,726,780,525,359,478,405
