GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G0600330","2018","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",26774,1584,1976,1168,1652,1790,1307,1602,1784,812,2133,3131,2142,1835,925,1628,1305,"Lake County, California",1463,651,741,589,784,809,576,761,741,466,854,973,752,642,518,798,593
"G0600370","2018","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3313908,198451,151726,130497,140442,125512,133702,125377,130749,114599,216785,320596,408109,320244,208828,250855,337436,"Los Angeles County, California",10529,7860,5659,6757,6018,4878,5552,5564,5854,4722,7466,7755,8962,9078,7394,7796,8158
"G0600390","2018","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",44484,2315,1997,2481,1411,1710,2474,3148,2469,1667,3557,6128,5044,3839,2258,2016,1970,"Madera County, California",1786,911,883,986,484,678,847,926,904,699,1005,1339,1038,1068,743,707,894
"G0600410","2018","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",104954,3381,2614,2322,1654,1953,2268,2214,2425,2388,5479,6061,10842,8597,9423,13343,29990,"Marin County, California",1838,1000,872,804,638,746,752,826,959,769,1257,1393,1718,1086,1522,1411,2503
"G0600450","2018","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",33794,1447,2489,2474,1263,2170,1384,2175,1622,1217,3458,3781,3712,2620,1473,1260,1249,"Mendocino County, California",1416,599,1008,812,520,746,581,730,842,524,961,938,966,894,726,536,560
"G0600470","2018","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",79487,5086,4130,3747,3609,4586,4206,2646,4592,2661,5878,8472,11914,6381,4974,3175,3430,"Merced County, California",1497,1129,877,1009,861,1019,924,749,1095,886,1390,1458,1492,995,1299,798,946
"G0600530","2018","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",126299,4412,3774,4406,4807,4571,6140,4865,4390,5124,10130,13870,17024,12416,8187,10210,11973,"Monterey County, California",2071,1099,935,1148,976,1080,1379,1063,1045,1056,1600,2159,1812,1705,1308,1640,1458
"G0600550","2018","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",47315,1543,1062,1312,1759,1511,1907,1259,1559,1156,4338,3173,6202,5590,3359,5273,6312,"Napa County, California",1405,568,417,505,532,561,645,506,518,441,1014,654,1163,921,828,795,976
"G0600570","2018","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",41447,1920,2158,2043,1514,1823,1694,1527,2370,1332,2604,3335,5550,4839,2531,2982,3225,"Nevada County, California",1915,763,861,822,598,756,746,637,849,445,652,1007,1147,1107,881,926,947
"G0600590","2018","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1040394,47197,28900,25846,33818,28004,32148,30152,32697,29133,60355,92080,130010,111872,80330,118762,159090,"Orange County, California",5391,4307,3013,2468,2867,2815,2837,2824,2886,3084,4039,4836,4659,4881,4269,4843,5348
"G0600610","2018","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",144691,5754,4273,3722,5394,4725,6347,4245,3774,4341,7873,12421,18776,16835,10954,14979,20278,"Placer County, California",2698,1196,1105,926,1145,1215,1386,1102,816,1253,1152,1574,2072,2141,1797,1458,1908
"G0600650","2018","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",728103,42146,27288,29997,35860,29319,31749,27237,28822,26737,47764,76440,92984,76630,44546,57312,53272,"Riverside County, California",4596,3826,2915,2645,2602,2474,2683,2501,3140,2504,3499,4629,4247,4115,3374,3689,3515
"G0600670","2018","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",543560,28891,22824,21821,22673,18972,21195,20792,20037,21227,39516,52816,72755,55123,39002,47421,38495,"Sacramento County, California",3122,2834,2482,2417,2269,2051,2551,2510,2579,2501,3422,3160,4098,3339,2834,3226,2907
"G0600710","2018","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",638647,33089,29165,26121,30318,27121,26946,24849,28401,21511,52526,64599,88963,61952,41135,43986,37965,"San Bernardino County, California",5380,3176,2545,2592,3170,2811,3392,2771,3271,2180,3783,3863,4842,4200,3060,3651,3415
"G0600730","2018","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1130911,48592,38634,34011,39995,38556,40462,40939,41359,36872,75072,106245,142654,123097,82540,113882,128001,"San Diego County, California",6394,3890,3373,2923,3597,3366,3795,3077,3657,3238,4468,5848,5224,6298,4902,5819,4470
"G0600750","2018","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",362827,19249,15700,10050,11641,8496,9175,5825,8727,8480,14375,22275,32079,28693,22912,41684,103466,"San Francisco County, California",5010,2360,2097,1994,2004,1503,1592,1148,1747,1629,2268,2701,2861,2754,2172,3278,4308
