GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G12024000","2012","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",36945,284,0,111,273,69,163,67,439,816,1394,1089,955,1001,2090,2012,3720,2127,3973,3316,4973,1929,2502,1549,2093,"Fort Lauderdale city, Florida",3313,273,211,110,206,116,138,109,358,425,701,453,474,416,746,776,1002,714,1059,896,1044,724,710,589,724
"G12024125","2012","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",12811,572,286,207,173,562,332,136,823,551,567,970,758,408,789,540,968,400,672,881,1204,395,472,145,0,"Fort Myers city, Florida",1406,435,238,165,189,361,241,162,458,342,370,484,342,286,463,313,434,299,291,601,593,222,245,170,211
"G12025175","2012","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",16674,0,0,0,178,110,0,0,114,614,695,405,1443,949,1612,1855,2159,1931,1932,1026,1279,132,145,0,95,"Gainesville city, Florida",1785,211,211,211,191,184,211,211,118,313,407,270,577,474,592,554,877,663,690,486,588,160,169,211,161
"G12030000","2012","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",32578,103,0,148,167,41,209,0,499,1774,2051,1889,1160,1802,4544,2059,5385,2921,4450,2093,1220,23,0,40,0,"Hialeah city, Florida",2093,126,211,188,142,68,244,211,326,855,677,746,454,593,918,583,856,795,1019,758,442,39,211,65,211
"G12032000","2012","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",34181,390,184,66,226,185,405,497,1272,592,973,1636,2238,572,3751,3098,2284,2942,3978,2499,3116,1357,712,737,471,"Hollywood city, Florida",2284,276,155,110,216,154,238,346,771,433,437,435,733,349,987,790,642,785,916,574,729,634,423,304,283
"G12035000","2012","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",185063,2681,1896,1448,1022,1764,2746,1495,3825,7209,8587,11689,12296,9440,24409,20345,20165,13001,15100,9940,7285,3352,2874,912,1582,"Jacksonville city, Florida",5076,867,625,721,497,967,914,597,881,1239,1241,2029,1511,1373,2469,2519,2202,2067,1826,1509,1339,898,718,479,530
"G12036100","2012","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",19329,0,0,0,0,67,0,0,0,334,330,550,743,640,1548,639,1768,481,1561,1375,4578,1888,2165,374,288,"Kendall CDP, Florida",1962,211,211,211,211,110,211,211,211,333,269,436,509,471,665,315,743,400,590,513,1131,632,632,281,244
"G12038250","2012","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",21130,1061,589,328,476,242,708,420,810,859,559,1471,1968,1517,2426,1253,2157,710,1562,690,574,258,334,44,114,"Lakeland city, Florida",1611,358,279,260,288,187,372,295,463,335,263,516,629,568,686,388,659,292,526,253,238,192,237,72,135
"G12039425","2012","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",20060,1705,580,529,373,698,442,254,916,1294,1382,1506,1524,984,1692,1482,1844,611,1232,177,490,69,112,114,50,"Largo city, Florida",1777,588,317,386,239,410,259,217,465,569,599,528,516,418,469,602,612,328,453,158,299,113,110,132,82
"G12039550","2012","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",12522,149,44,242,150,444,1104,236,890,380,1049,783,730,647,967,624,1157,836,1303,625,128,0,0,0,34,"Lauderhill city, Florida",1426,218,74,285,192,268,515,200,502,269,541,423,470,326,538,346,474,531,441,388,120,211,211,211,55
