GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S50E001,S50E002,S50E003,S50E004,S50E005,S50E006,S50E007,S50E008,S50E009,S50E010,S50E011,S50E012,S50E013,S50E014,S50E015,S50E016,S50E017,S50E018,S50E019,S50E020,S50E021,S50E022,S50E023,S50E024,S50E025,NAME_M,S50M001,S50M002,S50M003,S50M004,S50M005,S50M006,S50M007,S50M008,S50M009,S50M010,S50M011,S50M012,S50M013,S50M014,S50M015,S50M016,S50M017,S50M018,S50M019,S50M020,S50M021,S50M022,S50M023,S50M024,S50M025
"G06018100","2013","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2013","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2013","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",10415,277,0,52,0,78,262,194,84,0,0,0,92,0,168,110,577,287,1076,2187,3354,775,718,80,44,"East Los Angeles CDP, California",1134,201,203,64,203,76,244,168,97,203,203,203,115,203,153,95,332,227,390,573,720,337,373,96,72
"G06021712","2013","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",12258,152,193,256,0,0,244,0,380,184,0,100,0,0,365,420,135,498,621,1195,3776,1515,1951,138,135,"El Cajon city, California",1498,150,181,286,203,203,189,203,407,183,203,165,203,203,288,335,158,488,282,634,850,583,699,161,128
"G06022020","2013","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",34726,612,73,104,67,127,78,39,143,102,0,0,69,392,512,655,1417,2685,7006,6801,8772,2628,1747,241,456,"Elk Grove city, California",2290,337,121,101,79,97,126,64,187,153,203,203,112,352,274,393,545,711,1232,1250,1305,859,646,143,290
"G06022230","2013","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06022804","2013","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",21411,577,126,83,142,153,170,40,95,255,82,75,131,224,693,139,684,498,1527,2495,4959,4450,2489,960,364,"Escondido city, California",1967,309,206,72,137,146,150,67,111,239,95,86,127,238,362,136,448,347,532,676,1050,1142,666,328,328
"G06023182","2013","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06024638","2013","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06024680","2013","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",30755,372,535,260,120,113,92,0,124,31,0,132,222,181,1197,960,2363,2683,5017,5238,8645,1813,411,109,137,"Fontana city, California",2156,235,335,349,148,111,153,203,160,51,203,114,235,187,452,494,791,659,949,1285,1357,802,290,136,155
"G06026000","2013","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",45501,571,0,0,41,78,0,147,75,456,100,127,218,0,302,0,150,127,1261,1073,3101,5641,17657,8177,6199,"Fremont city, California",2319,242,203,203,68,94,203,239,89,345,118,121,180,203,277,203,149,123,549,484,902,927,1809,1194,890
"G06027000","2013","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",74135,1806,391,673,322,414,283,532,899,993,1558,1671,2567,2880,6711,6598,9646,6123,11277,6570,6612,1770,2639,828,372,"Fresno city, California",3173,471,248,353,210,413,241,436,408,537,454,528,752,844,1145,1426,1448,1367,1470,1221,1219,594,794,528,230
"G06028000","2013","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,
