GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADDPE001,ADDPE002,ADDPE003,ADDPE004,ADDPE005,ADDPE006,ADDPE007,ADDPE008,ADDPE009,ADDPE010,ADDPE011,ADDPE012,ADDPE013,ADDPE014,ADDPE015,ADDPE016,ADDPE017,ADDPE018,ADDPE019,ADDPE020,ADDPE021,ADDPE022,ADDPE023,ADDPE024,ADDPE025,ADDPE026,ADDPE027,NAME_M,ADDPM001,ADDPM002,ADDPM003,ADDPM004,ADDPM005,ADDPM006,ADDPM007,ADDPM008,ADDPM009,ADDPM010,ADDPM011,ADDPM012,ADDPM013,ADDPM014,ADDPM015,ADDPM016,ADDPM017,ADDPM018,ADDPM019,ADDPM020,ADDPM021,ADDPM022,ADDPM023,ADDPM024,ADDPM025,ADDPM026,ADDPM027
"G0501430","2015","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",43793,406,200,345,0,225,112,332,667,866,887,996,1644,2268,4126,6651,5633,3884,4028,3881,2866,1334,1269,594,240,92,247,"Washington County, Arkansas",2313,386,172,243,190,215,111,290,451,387,501,493,571,778,1066,1191,1093,960,954,979,844,462,536,378,210,119,207
"G0501450","2015","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",18450,368,478,177,925,276,471,277,778,429,889,1286,1137,1325,2092,1958,2141,622,965,837,549,226,143,95,6,0,0,"White County, Arkansas",1489,283,403,166,509,221,300,357,504,216,457,482,415,641,639,602,761,410,523,423,384,283,136,111,12,190,190
"G0600010","2015","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",300205,2486,103,176,310,104,437,0,453,530,1227,299,794,416,2509,933,2256,1122,5828,6768,25958,37273,95893,64438,32438,8742,8712,"Alameda County, California",4712,814,137,159,231,105,320,201,208,224,483,173,349,243,848,377,686,425,1133,975,2301,2358,3660,2668,2178,1048,1226
"G0600070","2015","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",49074,689,433,611,158,389,597,351,599,398,287,692,906,755,2175,1861,4209,2442,7483,7332,7923,3492,3502,1400,177,71,142,"Butte County, California",1818,287,271,373,129,247,342,257,338,247,230,339,416,339,656,535,836,768,1308,1212,1131,841,793,656,173,120,157
"G0600130","2015","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",251343,1709,347,274,531,532,707,441,652,693,274,1147,285,761,1661,1051,3113,3464,10015,12766,41190,38937,56927,33135,27390,7704,5637,"Contra Costa County, California",4990,657,306,300,347,399,388,350,336,367,209,635,286,412,647,501,834,989,1527,1498,2975,2510,2881,2322,2609,1193,1094
"G0600170","2015","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",52967,750,79,219,221,0,323,62,288,165,484,335,285,323,886,494,888,936,4569,3565,10377,9418,13611,3440,807,374,68,"El Dorado County, California",2291,405,130,220,260,201,305,105,237,171,502,248,258,310,475,305,515,441,861,810,1171,1204,1586,922,342,200,80
"G0600190","2015","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",158419,1662,1136,946,583,669,486,408,1360,979,986,1120,3463,3976,10065,11620,18088,11761,24653,21103,22676,10150,7217,1739,1181,136,256,"Fresno County, California",3706,678,656,581,319,286,320,219,585,419,388,401,683,846,1512,1522,2038,1574,2259,1747,2347,1436,1071,504,469,142,180
"G0600230","2015","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",29809,598,500,100,94,269,24,79,131,360,225,93,458,225,733,247,1328,1819,4958,4682,6082,2151,3464,659,192,66,272,"Humboldt County, California",1731,323,381,170,156,219,38,93,120,264,223,90,373,203,325,200,551,725,983,927,927,604,787,263,190,101,421
"G0600250","2015","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",25428,643,237,197,346,228,113,196,654,209,616,508,304,366,2694,1793,4762,1377,4624,2558,2213,426,133,173,0,0,58,"Imperial County, California",1929,430,189,209,217,154,162,226,404,217,342,257,188,264,755,670,1139,459,1072,874,732,382,143,228,201,201,103
"G0600290","2015","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",148991,1324,947,567,958,758,535,430,785,2861,2993,2388,5857,4313,11407,10448,18068,11165,23559,18038,17008,6081,5615,1513,451,357,565,"Kern County, California",4398,561,646,282,432,399,284,252,473,727,808,781,1214,1179,1570,1657,2310,1811,2147,2058,2251,1165,1051,576,292,276,431
"G0600310","2015","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",20574,347,44,174,154,25,136,116,74,350,586,565,791,402,1875,1423,2499,2256,2702,2548,2278,721,471,0,37,0,0,"Kings County, California",1676,299,74,224,166,43,208,163,108,216,344,400,431,315,656,542,684,822,888,738,774,273,257,201,51,201,201
