GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G0501250","2012","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",34542,546,598,399,761,739,912,365,397,974,626,1908,1522,1396,3682,5028,4732,1844,3254,2483,1179,593,467,35,102,"Saline County, Arkansas",1560,304,341,271,406,487,479,240,314,436,406,744,537,625,788,949,1026,571,749,782,469,397,396,62,120
"G0501310","2012","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",30962,495,118,358,97,401,300,133,896,1535,2387,2837,1914,1936,4831,3313,3201,2125,1452,1017,1073,189,271,83,0,"Sebastian County, Arkansas",1779,316,131,172,151,359,219,156,459,573,901,801,618,670,1371,867,867,763,481,559,378,156,272,139,184
"G0501430","2012","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",45951,471,780,196,467,235,286,354,258,1393,1405,1730,2846,2685,6774,4788,3854,3998,4622,3059,2768,1512,679,267,524,"Washington County, Arkansas",2425,349,475,174,283,232,188,252,209,599,501,668,779,814,1274,1091,934,999,911,773,835,680,281,235,336
"G0501450","2012","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",20792,749,47,400,493,111,346,169,522,938,1414,1548,973,1718,2676,1734,1536,944,1897,490,1196,340,183,277,91,"White County, Arkansas",1093,355,68,257,301,130,242,141,235,454,605,567,394,715,814,699,485,423,747,330,632,267,219,286,151
"G0600010","2012","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",286205,635,635,487,424,645,906,706,1739,1371,1560,1332,905,986,4392,4142,6954,4895,15749,17994,46854,40850,77658,33550,20836,"Alameda County, California",5284,288,346,270,233,328,366,297,532,429,551,510,357,405,759,857,1350,1017,2212,1823,3317,2461,3123,2532,1763
"G0600070","2012","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",50752,982,468,575,1001,518,211,799,624,911,972,1188,1802,1221,2766,3109,4525,3286,6733,5789,6848,3473,2037,398,516,"Butte County, California",2105,395,267,423,465,273,148,555,257,405,487,585,568,427,807,883,951,693,1160,787,1083,794,558,293,327
"G0600130","2012","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",244208,321,629,788,1192,575,1811,441,1021,881,876,1459,1828,1232,8318,7295,10550,9341,22344,20653,37575,22765,43677,28983,19653,"Contra Costa County, California",4892,230,317,292,633,312,708,269,480,416,325,605,560,397,1524,1189,1513,1260,2292,2268,2475,2091,2970,2207,1732
"G0600170","2012","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",47733,506,228,173,380,381,135,177,99,120,57,296,180,226,697,1298,1814,1658,5661,6185,10077,8526,6295,1787,777,"El Dorado County, California",1998,314,234,176,280,265,128,174,118,153,83,245,194,195,291,677,596,663,1069,965,1303,1215,919,561,519
"G0600190","2012","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",150354,1402,1135,561,439,535,1037,309,2536,2314,3509,3599,6397,6070,14446,13754,17698,11371,19490,13429,15635,6349,5351,1226,1762,"Fresno County, California",3479,623,417,375,262,238,357,191,838,733,936,833,1107,986,1813,1579,2070,1484,1823,1610,1729,1040,933,414,573
"G0600230","2012","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",28072,301,108,346,113,164,75,0,162,496,81,472,143,152,1150,338,1738,1480,3808,4790,5475,3302,2798,372,208,"Humboldt County, California",1613,236,145,264,105,151,101,197,159,251,75,350,140,183,523,260,625,551,942,1109,1033,710,810,304,139
