GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJNQE001,AJNQE002,AJNQE003,AJNQE004,AJNQE005,AJNQE006,AJNQE007,AJNQE008,AJNQE009,AJNQE010,AJNQE011,AJNQE012,AJNQE013,AJNQE014,AJNQE015,AJNQE016,AJNQE017,AJNQE018,AJNQE019,AJNQE020,AJNQE021,AJNQE022,AJNQE023,AJNQE024,AJNQE025,AJNQE026,AJNQE027,NAME_M,AJNQM001,AJNQM002,AJNQM003,AJNQM004,AJNQM005,AJNQM006,AJNQM007,AJNQM008,AJNQM009,AJNQM010,AJNQM011,AJNQM012,AJNQM013,AJNQM014,AJNQM015,AJNQM016,AJNQM017,AJNQM018,AJNQM019,AJNQM020,AJNQM021,AJNQM022,AJNQM023,AJNQM024,AJNQM025,AJNQM026,AJNQM027
"G2001030","2018","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",17252,197,88,32,23,174,0,115,263,304,166,359,408,327,1054,1363,2632,1335,1856,2236,2512,809,777,222,0,0,0,"Leavenworth County, Kansas",1324,216,93,56,38,212,177,116,228,327,159,248,408,264,424,485,803,557,673,621,719,481,355,163,177,177,177
"G2001610","2018","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riley County, Kansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2001730","2018","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",126139,1804,824,439,724,713,1248,354,2322,3143,6031,5792,6466,6085,14052,14400,15703,9434,14651,8211,7229,3321,2214,704,275,0,0,"Sedgwick County, Kansas",3519,807,391,270,524,425,486,220,851,674,1023,1213,1269,1165,1634,1649,1680,1358,1639,1288,1063,708,531,369,283,177,177
"G2001770","2018","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",46997,350,477,1245,327,600,860,138,1246,971,2012,2882,3057,1865,4739,6211,4609,3754,4884,2910,2154,1178,224,304,0,0,0,"Shawnee County, Kansas",1912,297,324,658,296,279,520,134,480,459,706,710,914,538,941,1143,930,920,887,690,530,396,146,209,177,177,177
"G2002090","2018","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",33599,1060,424,251,601,251,601,694,1111,1879,2170,1761,2901,1813,4456,3238,2566,2325,1729,1667,1229,278,95,335,76,59,29,"Wyandotte County, Kansas",1957,491,252,176,316,195,295,367,456,691,658,570,865,624,747,825,725,656,502,557,462,218,94,299,93,102,49
"G2100150","2018","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",34628,533,179,394,426,497,222,0,0,131,40,839,297,297,2805,2443,4973,3886,5270,3510,4950,1289,943,199,291,214,0,"Boone County, Kentucky",1719,574,115,461,404,341,217,197,197,151,71,513,256,221,890,759,1299,901,1038,985,1159,525,567,171,352,212,197
"G2100290","2018","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",24113,752,65,362,0,75,32,316,312,122,179,658,367,862,1755,2969,3417,2425,4218,2719,1520,619,66,290,0,0,13,"Bullitt County, Kentucky",1335,510,107,273,197,123,53,241,276,171,141,412,227,543,711,633,788,657,990,828,385,280,113,238,197,197,22
"G2100370","2018","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",26529,258,64,0,0,239,0,95,252,131,844,898,1376,529,2340,3343,2691,2058,3650,2121,3063,839,1028,520,149,0,41,"Campbell County, Kentucky",1526,210,82,197,197,181,197,130,204,131,389,453,626,284,693,717,735,686,843,533,753,396,466,301,147,197,64
"G2100470","2018","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",12243,44,21,0,0,166,313,35,591,390,371,976,922,752,1704,1063,1080,678,990,324,1148,63,361,0,251,0,0,"Christian County, Kentucky",1423,81,36,197,197,144,235,45,440,320,259,451,512,541,826,468,435,378,421,229,622,114,382,197,328,197,197
"G2100590","2018","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",26680,176,125,223,151,205,82,92,482,744,1023,1057,2014,1405,2488,4396,3124,1395,2906,1093,2130,573,726,0,70,0,0,"Daviess County, Kentucky",1291,135,208,229,157,187,136,107,287,405,507,529,720,495,714,971,759,609,657,378,588,336,368,197,120,197,197
"G2100670","2018","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",73100,534,124,24,192,104,234,83,435,706,701,1436,1594,2157,6592,7663,8967,6834,9025,6630,8944,4564,3651,813,570,70,453,"Fayette County, Kentucky",2767,458,151,39,224,120,155,148,391,500,335,591,563,703,1162,1106,1190,1177,1455,1212,1224,1120,723,327,349,81,264
"G2100930","2018","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",25874,458,90,81,345,0,87,120,251,308,576,978,916,1196,3090,2675,3511,2197,2856,2160,2101,919,421,98,269,171,0,"Hardin County, Kentucky",1335,328,155,137,283,197,85,102,225,236,368,657,372,516,1018,844,805,666,881,684,768,481,294,179,351,191,197
