GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G06011390","2013","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",12682,12395,0,139,230,0,319,91,74,0,0,143,300,324,955,1137,1385,2356,1117,1714,965,912,234,287,"Carmichael CDP, California",1767,1790,203,163,249,203,428,107,122,203,203,80,228,223,497,716,606,873,667,590,432,556,242,341
"G06011530","2013","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2013","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",19939,19530,134,12,4,136,75,111,217,185,454,796,715,2210,2050,1726,1417,2713,1249,2654,1400,647,625,409,"Chico city, California",1699,1699,181,13,9,130,91,143,195,147,304,378,500,823,796,773,621,963,477,686,621,475,549,331
"G06013210","2013","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2013","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2013","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",31768,31536,229,246,0,718,242,283,211,43,284,85,451,235,132,760,879,4067,3202,6565,4161,5762,2981,232,"Chula Vista city, California",2795,2799,267,339,203,369,194,334,270,70,286,102,559,238,134,497,547,1563,1336,1475,1093,1572,730,161
"G06013588","2013","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2013","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",13038,12579,82,0,316,160,354,0,201,46,100,0,358,499,1181,539,804,1305,1588,2083,1647,1162,154,459,"Clovis city, California",1455,1443,135,203,341,183,374,203,193,78,129,203,356,308,562,402,438,582,655,738,681,530,114,253
"G06015044","2013","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",10780,10137,47,149,84,0,27,221,83,155,118,411,149,229,552,273,748,1067,1095,2202,1152,1193,182,643,"Compton city, California",1341,1334,77,216,136,203,46,212,99,167,154,291,142,180,301,268,436,390,486,733,539,525,272,403
"G06016000","2013","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2013","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06016532","2013","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2013","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2013","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2013","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2013","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",22049,21460,44,125,252,343,181,113,70,534,125,940,274,745,983,964,1202,3505,3149,4952,1793,1067,99,589,"East Los Angeles CDP, California",1648,1630,72,205,208,240,173,185,85,362,206,538,219,394,533,436,514,765,913,982,630,507,126,337
"G06021712","2013","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,"El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06022020","2013","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06022230","2013","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",19905,19335,51,0,90,422,86,146,91,148,147,531,401,502,423,950,790,2487,2954,6430,1444,843,399,570,"El Monte city, California",1670,1616,85,203,151,327,141,172,93,157,138,305,433,343,338,514,466,787,886,1159,642,437,357,326
"G06022804","2013","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",23257,22990,117,0,0,222,371,127,248,106,45,184,170,0,722,610,410,1420,2288,8467,3486,2871,1126,267,"Escondido city, California",1707,1694,191,203,203,172,390,209,288,136,73,219,162,203,513,366,253,524,783,1368,897,809,423,231
"G06023182","2013","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",16679,16324,0,88,92,81,136,270,106,122,122,176,0,279,309,186,678,1467,2411,2407,2487,3734,1173,355,"Fairfield city, California",1343,1306,203,142,79,126,205,270,172,116,194,219,203,299,243,216,393,532,669,708,718,980,514,268
"G06024638","2013","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06024680","2013","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",16213,15646,0,38,113,177,96,0,0,114,274,52,289,458,243,818,854,2573,1968,2833,1089,2254,1403,567,"Fontana city, California",1727,1681,203,62,135,173,156,203,203,152,240,86,190,294,216,433,427,717,744,716,554,808,753,387
"G06026000","2013","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06027000","2013","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",87339,85587,1919,517,839,705,862,2065,573,2004,3492,4870,4843,6501,7201,7187,6548,8564,6720,11768,4881,2105,1423,1752,"Fresno city, California",2997,2979,853,414,508,380,423,742,325,655,857,1204,1158,1226,1104,1389,1483,1613,1206,1656,1385,867,609,783
"G06028000","2013","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06029000","2013","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",20138,19452,39,0,353,419,380,40,26,40,111,87,0,125,62,236,263,1325,1912,4703,4330,3553,1448,686,"Garden Grove city, California",1582,1536,64,203,362,239,252,67,43,66,138,70,203,204,74,238,218,509,737,1033,908,691,570,439
