GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G06013588","2015","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2015","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",14462,13917,0,0,0,52,49,0,235,97,119,294,591,1010,562,942,563,2305,802,2665,1796,1186,226,88,0,335,545,"Clovis city, California",1530,1569,201,201,201,86,81,201,182,161,138,393,451,748,384,474,440,857,442,799,702,524,260,77,201,280,339
"G06015044","2015","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016000","2015","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2015","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06016532","2015","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2015","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2015","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2015","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2015","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",21875,21606,42,0,0,445,273,372,336,173,198,572,327,1082,603,892,680,3232,2884,6482,1532,1292,189,0,0,0,269,"East Los Angeles CDP, California",1761,1813,68,201,201,290,279,272,263,183,205,311,231,495,347,387,365,763,757,1177,656,590,206,201,201,201,187
