GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G06013210","2014","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2014","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2014","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",33817,32413,0,273,36,262,199,71,38,0,0,90,49,208,359,371,967,2576,2873,6143,5218,7746,4934,1404,"Chula Vista city, California",2762,2585,200,240,62,201,136,117,62,200,200,90,57,181,273,334,551,780,815,1304,1270,1751,1509,602
"G06013588","2014","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2014","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",15132,14711,239,0,67,0,0,106,0,123,73,69,460,701,1514,999,834,2280,1324,2438,1738,1240,506,421,"Clovis city, California",1320,1302,324,200,108,200,200,128,200,196,120,115,351,484,631,511,495,774,591,729,693,556,275,299
"G06015044","2014","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",9945,9826,202,41,82,430,42,216,50,0,39,80,0,150,74,539,396,1342,1499,1814,1127,1703,0,119,"Compton city, California",1258,1297,149,70,68,387,69,234,84,200,64,66,200,176,89,304,285,486,543,616,495,652,200,147
"G06016000","2014","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2014","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06016532","2014","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2014","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2014","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",14863,14621,228,0,84,116,47,26,97,152,169,117,146,170,417,216,445,421,1820,4112,2097,2797,944,242,"Davis city, California",1238,1264,186,200,107,135,81,48,145,122,260,136,140,196,446,192,346,311,670,914,600,765,307,217
"G06019766","2014","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2014","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",19966,19558,43,50,27,182,41,40,287,316,248,725,356,938,665,1269,1148,3414,3530,3784,1218,1133,144,408,"East Los Angeles CDP, California",1679,1660,71,84,44,194,68,66,187,223,179,336,229,473,394,447,495,892,814,953,524,439,169,264
"G06021712","2014","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,,"El Cajon city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06022020","2014","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06022230","2014","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",17801,17168,0,48,57,209,313,70,0,196,0,132,105,299,503,600,669,2545,2151,6183,1765,1323,0,633,"El Monte city, California",1454,1362,200,80,67,168,366,85,200,141,200,179,104,253,314,343,317,685,734,1135,651,580,200,376
"G06022804","2014","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",23733,23106,0,0,0,78,79,67,129,70,242,0,488,84,702,593,702,1891,2803,7153,2970,4155,900,627,"Escondido city, California",1608,1569,200,200,200,91,90,81,213,116,243,200,433,96,484,361,446,542,812,1341,912,824,486,310
"G06023182","2014","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06024638","2014","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06024680","2014","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",20939,20222,0,46,38,130,80,137,281,345,234,922,207,377,343,340,772,1950,3049,3099,1419,4699,1754,717,"Fontana city, California",1925,1986,200,77,62,165,94,170,264,256,233,562,183,273,242,208,487,664,783,777,647,1319,783,381
"G06026000","2014","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",28830,28399,72,0,0,121,0,230,363,165,0,155,0,460,251,182,0,282,246,2319,3721,10938,8894,431,"Fremont city, California",2135,2110,58,200,200,173,200,203,400,269,200,129,200,256,249,156,200,367,216,1043,823,1530,1682,233
