GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN6BE001,AN6BE002,AN6BE003,NAME_M,AN6BM001,AN6BM002,AN6BM003
"G06024638","2021","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"1600000US0624638","0624638","Folsom city, California",29667,28441,1226,"Folsom city, California",2625,2585,695
"G06024680","2021","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"1600000US0624680","0624680","Fontana city, California",58533,57836,697,"Fontana city, California",2316,2317,486
"G06026000","2021","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"1600000US0626000","0626000","Fremont city, California",79480,75716,3764,"Fremont city, California",2623,2266,1217
"G06027000","2021","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"1600000US0627000","0627000","Fresno city, California",188756,181841,6915,"Fresno city, California",3250,3453,1365
"G06028000","2021","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"1600000US0628000","0628000","Fullerton city, California",49834,48423,1411,"Fullerton city, California",2225,2126,733
"G06029000","2021","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"1600000US0629000","0629000","Garden Grove city, California",50253,48769,1484,"Garden Grove city, California",2442,2372,492
"G06030000","2021","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"1600000US0630000","0630000","Glendale city, California",76220,70831,5389,"Glendale city, California",2680,2424,1377
"G06032548","2021","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"1600000US0632548","0632548","Hawthorne city, California",31161,30039,1122,"Hawthorne city, California",1659,1607,647
"G06033000","2021","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"1600000US0633000","0633000","Hayward city, California",50777,48619,2158,"Hayward city, California",2198,2074,758
"G06033182","2021","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"1600000US0633182","0633182","Hemet city, California",36642,33486,3156,"Hemet city, California",2894,2524,1220
"G06033434","2021","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"1600000US0633434","0633434","Hesperia city, California",29886,29237,649,"Hesperia city, California",2026,2000,437
"G06036000","2021","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"1600000US0636000","0636000","Huntington Beach city, California",83658,79930,3728,"Huntington Beach city, California",2528,2427,1094
"G06036448","2021","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"1600000US0636448","0636448","Indio city, California",40749,34673,6076,"Indio city, California",2517,2190,1366
"G06036546","2021","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"1600000US0636546","0636546","Inglewood city, California",40083,37972,2111,"Inglewood city, California",2146,2174,734
"G06036770","2021","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"1600000US0636770","0636770","Irvine city, California",122260,111648,10612,"Irvine city, California",5673,4947,3036
"G06037692","2021","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"1600000US0637692","0637692","Jurupa Valley city, California",28677,27454,1223,"Jurupa Valley city, California",1710,1690,642
"G06039486","2021","CA",,,"California","06",,,"Lake Elsinore city","39486",,,,,,,,,,,,,,,,"1600000US0639486","0639486","Lake Elsinore city, California",21975,21422,553,"Lake Elsinore city, California",1723,1596,651
"G06039496","2021","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"1600000US0639496","0639496","Lake Forest city, California",32522,30962,1560,"Lake Forest city, California",1670,1532,892
"G06039892","2021","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"1600000US0639892","0639892","Lakewood city, California",27028,26533,495,"Lakewood city, California",1590,1456,457
"G06040130","2021","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"1600000US0640130","0640130","Lancaster city, California",53460,51333,2127,"Lancaster city, California",2586,2465,795
"G06041992","2021","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"1600000US0641992","0641992","Livermore city, California",32363,31472,891,"Livermore city, California",1859,1860,554
"G06042202","2021","CA",,,"California","06",,,"Lodi city","42202",,,,,,,,,,,,,,,,"1600000US0642202","0642202","Lodi city, California",25828,24245,1583,"Lodi city, California",1594,1386,804
"G06043000","2021","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"1600000US0643000","0643000","Long Beach city, California",179856,172599,7257,"Long Beach city, California",4443,4170,1441
"G06044000","2021","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"1600000US0644000","0644000","Los Angeles city, California",1542391,1410594,131797,"Los Angeles city, California",9733,11177,6307
"G06044574","2021","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"1600000US0644574","0644574","Lynwood city, California",16429,16079,350,"Lynwood city, California",1176,1126,303
"G06045022","2021","CA",,,"California","06",,,"Madera city","45022",,,,,,,,,,,,,,,,"1600000US0645022","0645022","Madera city, California",19676,18595,1081,"Madera city, California",1560,1546,821
"G06045484","2021","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"1600000US0645484","0645484","Manteca city, California",28237,27310,927,"Manteca city, California",1933,1852,609
"G06046842","2021","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"1600000US0646842","0646842","Menifee city, California",37422,35601,1821,"Menifee city, California",2266,2307,839
"G06046898","2021","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"1600000US0646898","0646898","Merced city, California",30158,28358,1800,"Merced city, California",1684,1601,1025
"G06047766","2021","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"1600000US0647766","0647766","Milpitas city, California",24559,23632,927,"Milpitas city, California",1101,968,582
"G06048256","2021","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"1600000US0648256","0648256","Mission Viejo city, California",36316,34168,2148,"Mission Viejo city, California",1878,1755,832
"G06048354","2021","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"1600000US0648354","0648354","Modesto city, California",74871,71775,3096,"Modesto city, California",2729,2610,1259
"G06049270","2021","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"1600000US0649270","0649270","Moreno Valley city, California",55128,54104,1024,"Moreno Valley city, California",2619,2508,495
"G06049670","2021","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"1600000US0649670","0649670","Mountain View city, California",39492,34637,4855,"Mountain View city, California",1970,1610,1294
"G06050076","2021","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"1600000US0650076","0650076","Murrieta city, California",36573,34414,2159,"Murrieta city, California",2414,2086,978
"G06050258","2021","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"1600000US0650258","0650258","Napa city, California",32314,30418,1896,"Napa city, California",1059,1079,762
"G06051182","2021","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"1600000US0651182","0651182","Newport Beach city, California",47062,39131,7931,"Newport Beach city, California",2359,1939,1591
"G06052526","2021","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"1600000US0652526","0652526","Norwalk city, California",26860,26506,354,"Norwalk city, California",1317,1316,328
"G06053000","2021","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"1600000US0653000","0653000","Oakland city, California",186660,170366,16294,"Oakland city, California",4202,3740,2184
"G06053322","2021","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"1600000US0653322","0653322","Oceanside city, California",64694,59683,5011,"Oceanside city, California",2793,2566,1402
