GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADAVE001,ADAVE002,ADAVE003,NAME_M,ADAVM001,ADAVM002,ADAVM003
"G06060018","2015","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",30755,29119,1636,"Redondo Beach city, California",1622,1388,784
"G06060102","2015","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",32888,31716,1172,"Redwood City city, California",1348,1357,507
"G06060466","2015","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",27521,26750,771,"Rialto city, California",1192,1134,443
"G06060620","2015","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",39922,37778,2144,"Richmond city, California",2369,2151,838
"G06062000","2015","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",100725,92408,8317,"Riverside city, California",3759,3373,1730
"G06062938","2015","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",49877,47520,2357,"Roseville city, California",1849,1892,1042
"G06064000","2015","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",191344,177131,14213,"Sacramento city, California",4434,4077,2313
"G06064224","2015","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",43374,41925,1449,"Salinas city, California",1950,1938,686
"G06065000","2015","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",60230,57585,2645,"San Bernardino city, California",2683,2611,840
"G06065042","2015","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",42337,40166,2171,"San Buenaventura (Ventura) city, California",2507,2135,829
"G06065084","2015","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",27790,24662,3128,"San Clemente city, California",2128,1655,1078
"G06066000","2015","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",531108,497663,33445,"San Diego city, California",6243,5576,3804
"G06067000","2015","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",390198,356916,33282,"San Francisco city, California",1218,3701,3466
"G06068000","2015","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",334726,323133,11593,"San Jose city, California",3718,3807,2021
"G06068084","2015","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",33260,32325,935,"San Leandro city, California",2049,2030,496
"G06068196","2015","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",30730,29407,1323,"San Marcos city, California",2235,2032,846
"G06068252","2015","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",40557,38658,1899,"San Mateo city, California",1892,1829,908
"G06068378","2015","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",25036,24569,467,"San Ramon city, California",1154,1067,446
"G06069000","2015","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",74306,72177,2129,"Santa Ana city, California",2465,2339,697
