GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MDGE001,MDGE002,MDGE003,NAME_M,MDGM001,MDGM002,MDGM003
"G06052526","2011","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",28492,27266,1226,"Norwalk city, California",1595,1517,563
"G06053000","2011","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",175054,157374,17680,"Oakland city, California",3510,3582,1980
"G06053322","2011","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",62277,56762,5515,"Oceanside city, California",2969,2756,1328
"G06053896","2011","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",48891,46571,2320,"Ontario city, California",2626,2156,1221
"G06053980","2011","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",44917,43462,1455,"Orange city, California",2157,2064,823
"G06054652","2011","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",54000,49415,4585,"Oxnard city, California",1917,1926,1297
"G06055156","2011","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",44587,40783,3804,"Palmdale city, California",2391,1965,1106
"G06055282","2011","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",28375,26849,1526,"Palo Alto city, California",1562,1553,789
"G06056000","2011","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",58892,55045,3847,"Pasadena city, California",3241,3070,1180
"G06056700","2011","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",18347,16781,1566,"Perris city, California",1867,1552,1089
"G06057456","2011","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",20000,18953,1047,"Pittsburg city, California",1491,1396,645
"G06057792","2011","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",24814,24333,481,"Pleasanton city, California",1324,1202,506
"G06058072","2011","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",40982,37972,3010,"Pomona city, California",2398,2146,963
"G06059444","2011","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",25565,23146,2419,"Rancho Cordova city, California",1366,1291,891
"G06059451","2011","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",58898,57158,1740,"Rancho Cucamonga city, California",4273,3827,1493
"G06059920","2011","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",38833,35025,3808,"Redding city, California",1518,1413,1364
"G06059962","2011","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",26981,24990,1991,"Redlands city, California",1835,1672,713
"G06060018","2011","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",30977,28790,2187,"Redondo Beach city, California",1713,1594,928
"G06060102","2011","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",29885,28320,1565,"Redwood City city, California",1849,1666,829
"G06060466","2011","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",25947,23852,2095,"Rialto city, California",2119,1881,998
"G06060620","2011","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",41117,36373,4744,"Richmond city, California",2320,1796,1337
"G06062000","2011","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",96819,87476,9343,"Riverside city, California",3640,3383,1760
"G06062938","2011","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",47732,44687,3045,"Roseville city, California",2297,2373,1444
"G06064000","2011","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",189291,170999,18292,"Sacramento city, California",4949,4512,3319
"G06064224","2011","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",43503,41518,1985,"Salinas city, California",1939,1806,761
"G06065000","2011","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",64076,58433,5643,"San Bernardino city, California",2782,2365,1278
"G06065042","2011","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",41535,40401,1134,"San Buenaventura (Ventura) city, California",1849,1823,602
"G06066000","2011","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",513906,468194,45712,"San Diego city, California",6573,6110,4109
"G06067000","2011","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",378261,342706,35555,"San Francisco city, California",1035,3616,3435
"G06068000","2011","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",319321,305460,13861,"San Jose city, California",3527,4455,2431
"G06068084","2011","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",32250,30627,1623,"San Leandro city, California",1938,1840,756
"G06068196","2011","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",27194,26053,1141,"San Marcos city, California",1704,1708,548
"G06068252","2011","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",40645,38380,2265,"San Mateo city, California",1939,1847,822
"G06068378","2011","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",25756,25120,636,"San Ramon city, California",1683,1577,826
"G06069000","2011","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",76777,73026,3751,"Santa Ana city, California",3187,3038,1127
"G06069070","2011","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",36779,33626,3153,"Santa Barbara city, California",2097,1859,990
"G06069084","2011","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",45090,42398,2692,"Santa Clara city, California",2435,2181,1096
"G06069088","2011","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",60012,57799,2213,"Santa Clarita city, California",2370,1911,1010
"G06069196","2011","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",28727,27007,1720,"Santa Maria city, California",1674,1757,734
"G06070000","2011","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",51296,47181,4115,"Santa Monica city, California",2829,2187,1439
