GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQALE001,AQALE002,AQALE003,NAME_M,AQALM001,AQALM002,AQALM003
"G06049270","2022","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"1600000US0649270","0649270","Moreno Valley city, California",55755,54515,1240,"Moreno Valley city, California",2364,2295,649
"G06049670","2022","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"1600000US0649670","0649670","Mountain View city, California",37848,34229,3619,"Mountain View city, California",2514,1832,1479
"G06050076","2022","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"1600000US0650076","0650076","Murrieta city, California",37558,36610,948,"Murrieta city, California",2006,1925,543
"G06050258","2022","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"1600000US0650258","0650258","Napa city, California",32734,30632,2102,"Napa city, California",1224,1259,898
"G06051182","2022","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"1600000US0651182","0651182","Newport Beach city, California",44139,37497,6642,"Newport Beach city, California",2359,1702,1730
"G06052526","2022","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"1600000US0652526","0652526","Norwalk city, California",28141,27200,941,"Norwalk city, California",1680,1685,596
"G06053000","2022","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"1600000US0653000","0653000","Oakland city, California",195256,178778,16478,"Oakland city, California",4140,4203,2527
"G06053322","2022","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"1600000US0653322","0653322","Oceanside city, California",69974,64559,5415,"Oceanside city, California",2490,2150,1267
"G06053896","2022","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"1600000US0653896","0653896","Ontario city, California",56012,52947,3065,"Ontario city, California",2294,2266,1114
"G06053980","2022","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"1600000US0653980","0653980","Orange city, California",48618,47163,1455,"Orange city, California",2065,2025,750
"G06054652","2022","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"1600000US0654652","0654652","Oxnard city, California",57632,54511,3121,"Oxnard city, California",2583,2582,1030
"G06055156","2022","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"1600000US0655156","0655156","Palmdale city, California",47677,45574,2103,"Palmdale city, California",2410,2241,878
"G06055282","2022","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"1600000US0655282","0655282","Palo Alto city, California",33048,28274,4774,"Palo Alto city, California",2008,1492,1580
"G06056000","2022","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"1600000US0656000","0656000","Pasadena city, California",63869,58321,5548,"Pasadena city, California",2553,2154,1482
"G06056700","2022","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"1600000US0656700","0656700","Perris city, California",20367,19243,1124,"Perris city, California",1623,1500,715
"G06057456","2022","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"1600000US0657456","0657456","Pittsburg city, California",25570,24480,1090,"Pittsburg city, California",1864,1797,658
"G06057792","2022","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"1600000US0657792","0657792","Pleasanton city, California",31036,29870,1166,"Pleasanton city, California",1654,1501,735
"G06058072","2022","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"1600000US0658072","0658072","Pomona city, California",43001,40419,2582,"Pomona city, California",2069,2083,992
"G06059444","2022","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"1600000US0659444","0659444","Rancho Cordova city, California",29299,28661,638,"Rancho Cordova city, California",1776,1690,529
"G06059451","2022","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"1600000US0659451","0659451","Rancho Cucamonga city, California",63047,60345,2702,"Rancho Cucamonga city, California",2859,2457,1085
"G06059920","2022","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"1600000US0659920","0659920","Redding city, California",40048,36525,3523,"Redding city, California",1921,2050,1293
"G06059962","2022","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"1600000US0659962","0659962","Redlands city, California",24323,23315,1008,"Redlands city, California",2477,2315,634
"G06060018","2022","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"1600000US0660018","0660018","Redondo Beach city, California",30652,28022,2630,"Redondo Beach city, California",1925,1560,1065
"G06060102","2022","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"1600000US0660102","0660102","Redwood City city, California",32034,29998,2036,"Redwood City city, California",1858,1622,1051
