GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G06049270","2012","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",56819,53127,3692,"Moreno Valley city, California",2571,2425,1094
"G06049670","2012","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",33971,32271,1700,"Mountain View city, California",1818,1688,850
"G06050076","2012","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",35803,33478,2325,"Murrieta city, California",2322,2053,1119
"G06050258","2012","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",30082,28062,2020,"Napa city, California",1272,1156,824
"G06051182","2012","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",42880,36893,5987,"Newport Beach city, California",2282,1679,1442
"G06052526","2012","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",28206,27258,948,"Norwalk city, California",1448,1428,530
"G06053000","2012","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",171094,156482,14612,"Oakland city, California",3178,3228,1799
"G06053322","2012","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",64642,58115,6527,"Oceanside city, California",2981,2555,1480
"G06053896","2012","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",48015,44699,3316,"Ontario city, California",2278,2011,1171
"G06053980","2012","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",44676,42515,2161,"Orange city, California",1873,1628,777
"G06054652","2012","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",53975,50282,3693,"Oxnard city, California",2166,1869,1187
"G06055156","2012","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",44190,40878,3312,"Palmdale city, California",1949,1815,932
"G06055282","2012","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",28575,26610,1965,"Palo Alto city, California",1380,1205,877
"G06056000","2012","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",59058,55992,3066,"Pasadena city, California",2547,2272,896
"G06056700","2012","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",16481,15834,647,"Perris city, California",1157,1016,622
"G06057456","2012","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",20589,19746,843,"Pittsburg city, California",1303,1174,513
"G06057792","2012","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",27118,26104,1014,"Pleasanton city, California",1198,1023,568
"G06058072","2012","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",40688,38417,2271,"Pomona city, California",1543,1480,800
"G06059444","2012","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",25541,24202,1339,"Rancho Cordova city, California",1607,1474,739
"G06059451","2012","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",54800,52957,1843,"Rancho Cucamonga city, California",2111,2002,759
"G06059920","2012","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",38914,35360,3554,"Redding city, California",1662,1851,1162
"G06059962","2012","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",26736,25137,1599,"Redlands city, California",1882,1790,689
"G06060018","2012","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",31314,28628,2686,"Redondo Beach city, California",1943,1663,999
"G06060102","2012","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",30430,28871,1559,"Redwood City city, California",1791,1518,728
"G06060466","2012","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",25997,23880,2117,"Rialto city, California",1644,1474,754
"G06060620","2012","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",41219,38952,2267,"Richmond city, California",2153,2049,826
"G06062000","2012","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",97462,91813,5649,"Riverside city, California",3263,3178,1401
"G06062938","2012","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",49077,46372,2705,"Roseville city, California",1824,1798,1032
"G06064000","2012","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",192172,177325,14847,"Sacramento city, California",3977,4031,2036
"G06064224","2012","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",41636,39429,2207,"Salinas city, California",1654,1681,665
"G06065000","2012","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",62000,56187,5813,"San Bernardino city, California",2642,2246,1231
"G06065042","2012","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",42322,40725,1597,"San Buenaventura (Ventura) city, California",2057,1846,753
"G06066000","2012","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",513200,473842,39358,"San Diego city, California",5577,5552,3903
"G06067000","2012","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",376899,346842,30057,"San Francisco city, California",1449,3718,3407
"G06068000","2012","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",320715,310126,10589,"San Jose city, California",3894,4079,1689
