GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G06039248","2019","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",27409,24719,2690,"Laguna Niguel city, California",2360,1923,1192
"G06039486","2019","CA",,,"California","06",,,"Lake Elsinore city","39486",,,,,,,,,,,,,,,,"16000US0639486","Lake Elsinore city, California",19946,18642,1304,"Lake Elsinore city, California",1685,1573,789
"G06039496","2019","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",30326,28460,1866,"Lake Forest city, California",1782,1451,1142
"G06039892","2019","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",25789,25198,591,"Lakewood city, California",1532,1376,480
"G06040130","2019","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",52755,49220,3535,"Lancaster city, California",2452,2074,1215
"G06041992","2019","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",31367,30545,822,"Livermore city, California",1842,1666,686
"G06042202","2019","CA",,,"California","06",,,"Lodi city","42202",,,,,,,,,,,,,,,,"16000US0642202","Lodi city, California",24445,22733,1712,"Lodi city, California",1916,1638,830
"G06043000","2019","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",176189,165689,10500,"Long Beach city, California",4761,4194,1802
"G06044000","2019","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1532364,1398900,133464,"Los Angeles city, California",11210,11130,6977
"G06044574","2019","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",15422,15142,280,"Lynwood city, California",1595,1531,237
