GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUWE001,NAME_M,AIUWM001
"G06068196","2018","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",96834,"San Marcos city, California",53
"G06068252","2018","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",105016,"San Mateo city, California",38
"G06068378","2018","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",75832,"San Ramon city, California",40
"G06069000","2018","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",332727,"Santa Ana city, California",50
"G06069070","2018","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",91330,"Santa Barbara city, California",74
"G06069084","2018","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",129489,"Santa Clara city, California",33
"G06069088","2018","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",210085,"Santa Clarita city, California",44
"G06069112","2018","CA",,,"California","06",,,"Santa Cruz city","69112",,,,,,,,,,,,,,,,"16000US0669112","Santa Cruz city, California",64729,"Santa Cruz city, California",25
"G06069196","2018","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",107424,"Santa Maria city, California",64
"G06070000","2018","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",91417,"Santa Monica city, California",33
"G06070098","2018","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",177587,"Santa Rosa city, California",32
"G06072016","2018","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",125844,"Simi Valley city, California",43
"G06073080","2018","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",94439,"South Gate city, California",27
"G06073262","2018","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",67736,"South San Francisco city, California",29
"G06073430","2018","CA",,,"California","06",,,"South Whittier CDP","73430",,,,,,,,,,,,,,,,"16000US0673430","South Whittier CDP, California",65577,"South Whittier CDP, California",8421
"G06075000","2018","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",311189,"Stockton city, California",57
"G06077000","2018","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",153175,"Sunnyvale city, California",46
